Log start on,2023-01-07 14:08:02
Feature,Accelerometer
Nodes,AM1V420 @1F3E5C, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg),
07/01/2023 14:08:02.179,78,AM1V420 @1F3E5C,243947,490563FF41FF,1353,-157,-191,,WALKING
07/01/2023 14:08:02.228,127,AM1V420 @1F3E5C,243952,75053200ACFF,1397,50,-84,,WALKING
07/01/2023 14:08:02.229,128,AM1V420 @1F3E5C,243954,53042300BF00,1107,35,191,,WALKING
07/01/2023 14:08:02.278,176,AM1V420 @1F3E5C,243957,74030F00ED01,884,15,493,,WALKING
07/01/2023 14:08:02.278,177,AM1V420 @1F3E5C,243959,080313008801,776,19,392,,WALKING
07/01/2023 14:08:02.278,177,AM1V420 @1F3E5C,243962,4603EEFFA300,838,-18,163,,WALKING
07/01/2023 14:08:02.326,225,AM1V420 @1F3E5C,243964,AA0305008B00,938,5,139,,WALKING
07/01/2023 14:08:02.327,226,AM1V420 @1F3E5C,243967,DB03E1FFBA00,987,-31,186,,WALKING
07/01/2023 14:08:02.375,274,AM1V420 @1F3E5C,243969,0A04C8FFB300,1034,-56,179,,WALKING
07/01/2023 14:08:02.377,276,AM1V420 @1F3E5C,243974,9903F2FF4500,921,-14,69,,WALKING
07/01/2023 14:08:02.376,275,AM1V420 @1F3E5C,243972,EC03D9FF7D00,1004,-39,125,,WALKING
07/01/2023 14:08:02.422,321,AM1V420 @1F3E5C,243977,4303FBFF1B00,835,-5,27,,WALKING
07/01/2023 14:08:02.424,323,AM1V420 @1F3E5C,243979,0803F7FF0000,776,-9,0,,WALKING
07/01/2023 14:08:02.472,371,AM1V420 @1F3E5C,243984,D202DFFFF9FF,722,-33,-7,,WALKING
07/01/2023 14:08:02.472,371,AM1V420 @1F3E5C,243982,E202E9FFE7FF,738,-23,-25,,WALKING
07/01/2023 14:08:02.472,373,AM1V420 @1F3E5C,243987,E602E7FF0B00,742,-25,11,,WALKING
07/01/2023 14:08:02.522,421,AM1V420 @1F3E5C,243989,EF0200000A00,751,0,10,,WALKING
07/01/2023 14:08:02.522,421,AM1V420 @1F3E5C,243992,04030A000300,772,10,3,,WALKING
07/01/2023 14:08:02.570,469,AM1V420 @1F3E5C,243997,6103E8FFC2FF,865,-24,-62,,WALKING
07/01/2023 14:08:02.571,470,AM1V420 @1F3E5C,243999,8503000084FF,901,0,-124,,WALKING
07/01/2023 14:08:02.569,468,AM1V420 @1F3E5C,243994,3403F0FFE9FF,820,-16,-23,,WALKING
07/01/2023 14:08:02.620,519,AM1V420 @1F3E5C,244002,B0030B007FFF,944,11,-129,,WALKING
07/01/2023 14:08:02.621,520,AM1V420 @1F3E5C,244004,F3031B0067FF,1011,27,-153,,WALKING
07/01/2023 14:08:02.669,568,AM1V420 @1F3E5C,244009,0505A8FF83FF,1285,-88,-125,,WALKING
07/01/2023 14:08:02.669,568,AM1V420 @1F3E5C,244007,7504E5FF8DFF,1141,-27,-115,,WALKING
07/01/2023 14:08:02.717,616,AM1V420 @1F3E5C,244014,A305070094FF,1443,7,-108,,WALKING
07/01/2023 14:08:02.717,616,AM1V420 @1F3E5C,244012,9505B5FF56FF,1429,-75,-170,,WALKING
07/01/2023 14:08:02.718,617,AM1V420 @1F3E5C,244017,8B0523003AFF,1419,35,-198,,WALKING
07/01/2023 14:08:02.767,666,AM1V420 @1F3E5C,244019,3406ACFF12FF,1588,-84,-238,,WALKING
07/01/2023 14:08:02.767,666,AM1V420 @1F3E5C,244022,E50564FF9CFF,1509,-156,-100,,WALKING
07/01/2023 14:08:02.819,718,AM1V420 @1F3E5C,244029,E70254FF8C01,743,-172,396,,WALKING
07/01/2023 14:08:02.818,717,AM1V420 @1F3E5C,244024,B504B7FF7700,1205,-73,119,,WALKING
07/01/2023 14:08:02.818,717,AM1V420 @1F3E5C,244027,84039BFF1E01,900,-101,286,,WALKING
07/01/2023 14:08:02.864,763,AM1V420 @1F3E5C,244032,D7027EFF5501,727,-130,341,,WALKING
07/01/2023 14:08:02.865,764,AM1V420 @1F3E5C,244034,4E039FFF0901,846,-97,265,,WALKING
07/01/2023 14:08:02.913,812,AM1V420 @1F3E5C,244039,B203DCFFA400,946,-36,164,,WALKING
07/01/2023 14:08:02.915,814,AM1V420 @1F3E5C,244042,8503BCFF6700,901,-68,103,,WALKING
07/01/2023 14:08:02.910,809,AM1V420 @1F3E5C,244037,9603CCFFC200,918,-52,194,,WALKING
07/01/2023 14:08:02.960,859,AM1V420 @1F3E5C,244044,6A03A3FF1A00,874,-93,26,,WALKING
07/01/2023 14:08:02.960,859,AM1V420 @1F3E5C,244047,3F039CFF1F00,831,-100,31,,WALKING
07/01/2023 14:08:03.008,907,AM1V420 @1F3E5C,244049,0903A2FF2B00,777,-94,43,,WALKING
07/01/2023 14:08:03.009,908,AM1V420 @1F3E5C,244052,F002B1FF1F00,752,-79,31,,WALKING
07/01/2023 14:08:03.057,956,AM1V420 @1F3E5C,244054,EE02B6FFF1FF,750,-74,-15,,WALKING
07/01/2023 14:08:03.058,957,AM1V420 @1F3E5C,244057,FC02A3FFEFFF,764,-93,-17,,WALKING
07/01/2023 14:08:03.061,960,AM1V420 @1F3E5C,244059,0F0387FF0600,783,-121,6,,WALKING
07/01/2023 14:08:03.106,1005,AM1V420 @1F3E5C,244062,2E0386FFFAFF,814,-122,-6,,WALKING
07/01/2023 14:08:03.107,1006,AM1V420 @1F3E5C,244064,5F0391FFE7FF,863,-111,-25,,WALKING
07/01/2023 14:08:03.155,1054,AM1V420 @1F3E5C,244067,8203A8FFA8FF,898,-88,-88,,WALKING
07/01/2023 14:08:03.156,1055,AM1V420 @1F3E5C,244069,C103BDFF7DFF,961,-67,-131,,WALKING
07/01/2023 14:08:03.158,1057,AM1V420 @1F3E5C,244072,FE03A4FF78FF,1022,-92,-136,,WALKING
07/01/2023 14:08:03.206,1105,AM1V420 @1F3E5C,244074,5E04C1FF62FF,1118,-63,-158,,WALKING
07/01/2023 14:08:03.206,1105,AM1V420 @1F3E5C,244077,C304B8FFA5FF,1219,-72,-91,,WALKING
