Log start on,2023-04-28 14:57:59
Feature,Accelerometer
Nodes,AM1V420 @1F3E5C, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg),
28/04/2023 14:57:59.128,100,AM1V420 @1F3E5C,26166,4AFCDEFFFAFE,-950,-34,-262,,STANDING
28/04/2023 14:57:59.176,147,AM1V420 @1F3E5C,26169,41FCE0FFF9FE,-959,-32,-263,,STANDING
28/04/2023 14:57:59.176,148,AM1V420 @1F3E5C,26171,3FFCDEFFFCFE,-961,-34,-260,,STANDING
28/04/2023 14:57:59.179,151,AM1V420 @1F3E5C,26174,43FCDDFFFBFE,-957,-35,-261,,STANDING
28/04/2023 14:57:59.224,196,AM1V420 @1F3E5C,26176,44FCDCFFFBFE,-956,-36,-261,,STANDING
28/04/2023 14:57:59.226,198,AM1V420 @1F3E5C,26179,46FCDCFFFBFE,-954,-36,-261,,STANDING
28/04/2023 14:57:59.274,246,AM1V420 @1F3E5C,26181,47FCDEFFF9FE,-953,-34,-263,,STANDING
28/04/2023 14:57:59.274,246,AM1V420 @1F3E5C,26184,44FCDEFFF9FE,-956,-34,-263,,STANDING
28/04/2023 14:57:59.275,247,AM1V420 @1F3E5C,26186,44FCDFFFFBFE,-956,-33,-261,,STANDING
28/04/2023 14:57:59.324,296,AM1V420 @1F3E5C,26191,45FCDDFFFAFE,-955,-35,-262,,STANDING
28/04/2023 14:57:59.324,296,AM1V420 @1F3E5C,26189,45FCE1FFFAFE,-955,-31,-262,,STANDING
28/04/2023 14:57:59.373,345,AM1V420 @1F3E5C,26199,45FCE1FFF9FE,-955,-31,-263,,STANDING
28/04/2023 14:57:59.372,344,AM1V420 @1F3E5C,26194,49FCDDFFFAFE,-951,-35,-262,,STANDING
28/04/2023 14:57:59.373,344,AM1V420 @1F3E5C,26196,48FCDEFFFAFE,-952,-34,-262,,STANDING
28/04/2023 14:57:59.420,392,AM1V420 @1F3E5C,26201,44FCE1FFF9FE,-956,-31,-263,,STANDING
28/04/2023 14:57:59.421,393,AM1V420 @1F3E5C,26204,46FCE2FFFAFE,-954,-30,-262,,STANDING
28/04/2023 14:57:59.470,442,AM1V420 @1F3E5C,26209,47FCE4FFF9FE,-953,-28,-263,,STANDING
