Log start on,2023-01-07 14:02:40
Feature,Magnetometer
Nodes,AM1V420 @1F3E5C, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa),
07/01/2023 14:02:40.086,5,AM1V420 @1F3E5C,203686,E6FDCEFD9900,-538,-562,153,,WALKING
07/01/2023 14:02:40.182,101,AM1V420 @1F3E5C,203696,DDFDC5FD9C00,-547,-571,156,,WALKING
07/01/2023 14:02:40.182,102,AM1V420 @1F3E5C,203698,DDFDCBFD9400,-547,-565,148,,WALKING
07/01/2023 14:02:40.231,150,AM1V420 @1F3E5C,203701,DAFDC3FD9C00,-550,-573,156,,WALKING
07/01/2023 14:02:40.231,150,AM1V420 @1F3E5C,203703,DEFDCFFD9400,-546,-561,148,,WALKING
07/01/2023 14:02:40.233,152,AM1V420 @1F3E5C,203706,E4FDC3FD9400,-540,-573,148,,WALKING
07/01/2023 14:02:40.282,201,AM1V420 @1F3E5C,203711,D5FDD1FDA000,-555,-559,160,,WALKING
07/01/2023 14:02:40.282,201,AM1V420 @1F3E5C,203708,DBFDC9FDA200,-549,-567,162,,WALKING
07/01/2023 14:02:40.330,249,AM1V420 @1F3E5C,203718,E0FDCBFDA300,-544,-565,163,,WALKING
07/01/2023 14:02:40.329,248,AM1V420 @1F3E5C,203713,D2FDCEFDA500,-558,-562,165,,WALKING
07/01/2023 14:02:40.329,248,AM1V420 @1F3E5C,203716,E1FDCBFDA500,-543,-565,165,,WALKING
07/01/2023 14:02:40.377,296,AM1V420 @1F3E5C,203721,DEFDC5FDA500,-546,-571,165,,WALKING
07/01/2023 14:02:40.378,297,AM1V420 @1F3E5C,203723,DDFDCEFDB200,-547,-562,178,,WALKING
07/01/2023 14:02:40.427,346,AM1V420 @1F3E5C,203728,EAFDCEFDA900,-534,-562,169,,WALKING
07/01/2023 14:02:40.427,346,AM1V420 @1F3E5C,203726,E1FDC9FDA900,-543,-567,169,,WALKING
07/01/2023 14:02:40.429,348,AM1V420 @1F3E5C,203731,E3FDC6FDAE00,-541,-570,174,,WALKING
07/01/2023 14:02:40.475,394,AM1V420 @1F3E5C,203733,DEFDC2FDAE00,-546,-574,174,,WALKING
07/01/2023 14:02:40.476,395,AM1V420 @1F3E5C,203736,EAFDC3FDAC00,-534,-573,172,,WALKING
07/01/2023 14:02:40.524,443,AM1V420 @1F3E5C,203738,F2FDC2FDA500,-526,-574,165,,WALKING
07/01/2023 14:02:40.525,444,AM1V420 @1F3E5C,203741,F2FDC3FDA300,-526,-573,163,,WALKING
07/01/2023 14:02:40.574,492,AM1V420 @1F3E5C,203743,EAFDBFFDA800,-534,-577,168,,WALKING
07/01/2023 14:02:40.574,493,AM1V420 @1F3E5C,203746,F3FDBFFD9C00,-525,-577,156,,WALKING
07/01/2023 14:02:40.575,494,AM1V420 @1F3E5C,203748,F3FDC3FDA600,-525,-573,166,,WALKING
07/01/2023 14:02:40.620,539,AM1V420 @1F3E5C,203751,F3FDC0FD9A00,-525,-576,154,,WALKING
07/01/2023 14:02:40.621,540,AM1V420 @1F3E5C,203753,F3FDC0FD9F00,-525,-576,159,,WALKING
07/01/2023 14:02:40.670,589,AM1V420 @1F3E5C,203758,F6FDC0FD9C00,-522,-576,156,,WALKING
07/01/2023 14:02:40.671,590,AM1V420 @1F3E5C,203761,F9FDB4FDA600,-519,-588,166,,WALKING
07/01/2023 14:02:40.670,589,AM1V420 @1F3E5C,203756,F5FDBFFDA500,-523,-577,165,,WALKING
07/01/2023 14:02:40.719,638,AM1V420 @1F3E5C,203763,F6FDBFFDA500,-522,-577,165,,WALKING
07/01/2023 14:02:40.719,638,AM1V420 @1F3E5C,203766,FBFDBDFDA200,-517,-579,162,,WALKING
07/01/2023 14:02:40.770,689,AM1V420 @1F3E5C,203768,FBFDBFFD9D00,-517,-577,157,,WALKING
07/01/2023 14:02:40.771,690,AM1V420 @1F3E5C,203773,FEFDC8FDA900,-514,-568,169,,WALKING
07/01/2023 14:02:40.771,690,AM1V420 @1F3E5C,203771,FCFDBCFDA500,-516,-580,165,,WALKING
07/01/2023 14:02:40.817,736,AM1V420 @1F3E5C,203776,07FEC0FDAE00,-505,-576,174,,WALKING
07/01/2023 14:02:40.817,736,AM1V420 @1F3E5C,203778,F9FDB9FDAB00,-519,-583,171,,WALKING
07/01/2023 14:02:40.865,784,AM1V420 @1F3E5C,203781,01FEB9FDA200,-511,-583,162,,WALKING
07/01/2023 14:02:40.867,786,AM1V420 @1F3E5C,203786,FCFDBCFD9A00,-516,-580,154,,WALKING
07/01/2023 14:02:40.866,785,AM1V420 @1F3E5C,203783,02FEBFFD9F00,-510,-577,159,,WALKING
07/01/2023 14:02:40.918,837,AM1V420 @1F3E5C,203788,02FEBFFD9A00,-510,-577,154,,WALKING
