Log start on,2022-12-21 19:02:05
Feature,Gyroscope
Nodes,AM1V420 @1F3E5C, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps),
21/12/2022 19:02:05.278,28,AM1V420 @1F3E5C,251855,F9FF0900FFFF,-0.7,0.9,-0.1,,LYING
21/12/2022 19:02:05.312,62,AM1V420 @1F3E5C,251857,F1FF0700FFFF,-1.5,0.7,-0.1,,LYING
21/12/2022 19:02:05.313,63,AM1V420 @1F3E5C,251860,F2FF01000000,-1.4,0.1,0.0,,LYING
21/12/2022 19:02:05.361,111,AM1V420 @1F3E5C,251862,F6FF02000300,-1.0,0.2,0.3,,LYING
21/12/2022 19:02:05.363,113,AM1V420 @1F3E5C,251865,F9FF05000400,-0.7,0.5,0.4,,LYING
21/12/2022 19:02:05.412,162,AM1V420 @1F3E5C,251870,03000E000400,0.3,1.4,0.4,,LYING
21/12/2022 19:02:05.414,164,AM1V420 @1F3E5C,251872,E9FFFCFF0400,-2.3,-0.4,0.4,,LYING
21/12/2022 19:02:05.412,162,AM1V420 @1F3E5C,251867,FEFFF2FF0000,-0.2,-1.4,0.0,,LYING
21/12/2022 19:02:05.463,213,AM1V420 @1F3E5C,251875,FAFFEFFF0000,-0.6,-1.7,0.0,,LYING
21/12/2022 19:02:05.466,216,AM1V420 @1F3E5C,251877,04000A000100,0.4,1.0,0.1,,LYING
21/12/2022 19:02:05.507,257,AM1V420 @1F3E5C,251880,F4FF05000100,-1.2,0.5,0.1,,LYING
21/12/2022 19:02:05.508,258,AM1V420 @1F3E5C,251882,EBFFF9FF0000,-2.1,-0.7,0.0,,LYING
21/12/2022 19:02:05.509,259,AM1V420 @1F3E5C,251885,EEFFE7FFFEFF,-1.8,-2.5,-0.2,,LYING
21/12/2022 19:02:05.558,308,AM1V420 @1F3E5C,251887,F7FFEEFFFDFF,-0.9,-1.8,-0.3,,LYING
21/12/2022 19:02:05.558,308,AM1V420 @1F3E5C,251890,F9FFF0FFFCFF,-0.7,-1.6,-0.4,,LYING
21/12/2022 19:02:05.607,357,AM1V420 @1F3E5C,251895,EEFFDFFFF4FF,-1.8,-3.3,-1.2,,LYING
21/12/2022 19:02:05.608,358,AM1V420 @1F3E5C,251897,FAFFE0FFF0FF,-0.6,-3.2,-1.6,,LYING
21/12/2022 19:02:05.607,357,AM1V420 @1F3E5C,251892,F3FFE6FFF9FF,-1.3,-2.6,-0.7,,LYING
21/12/2022 19:02:05.655,405,AM1V420 @1F3E5C,251900,0000EEFFF3FF,0.0,-1.8,-1.3,,LYING
21/12/2022 19:02:05.656,406,AM1V420 @1F3E5C,251902,0400FCFFFDFF,0.4,-0.4,-0.3,,LYING
21/12/2022 19:02:05.704,454,AM1V420 @1F3E5C,251907,020007000D00,0.2,0.7,1.3,,LYING
21/12/2022 19:02:05.704,454,AM1V420 @1F3E5C,251905,070009000500,0.7,0.9,0.5,,LYING
21/12/2022 19:02:05.705,455,AM1V420 @1F3E5C,251910,07001C001200,0.7,2.8,1.8,,LYING
21/12/2022 19:02:05.753,503,AM1V420 @1F3E5C,251912,0B001E001800,1.1,3.0,2.4,,LYING
21/12/2022 19:02:05.755,505,AM1V420 @1F3E5C,251915,15001A001E00,2.1,2.6,3.0,,LYING
21/12/2022 19:02:05.801,551,AM1V420 @1F3E5C,251917,20001A002400,3.2,2.6,3.6,,LYING
21/12/2022 19:02:05.802,552,AM1V420 @1F3E5C,251920,250016002C00,3.7,2.2,4.4,,LYING
21/12/2022 19:02:05.850,600,AM1V420 @1F3E5C,251922,230015003500,3.5,2.1,5.3,,LYING
21/12/2022 19:02:05.853,603,AM1V420 @1F3E5C,251925,220013003A00,3.4,1.9,5.8,,LYING
21/12/2022 19:02:05.853,603,AM1V420 @1F3E5C,251927,240009003700,3.6,0.9,5.5,,LYING
21/12/2022 19:02:05.898,648,AM1V420 @1F3E5C,251930,260004003300,3.8,0.4,5.1,,LYING
21/12/2022 19:02:05.899,649,AM1V420 @1F3E5C,251932,250000002800,3.7,0.0,4.0,,LYING
21/12/2022 19:02:05.948,698,AM1V420 @1F3E5C,251937,2400FFFF0A00,3.6,-0.1,1.0,,LYING
21/12/2022 19:02:05.948,698,AM1V420 @1F3E5C,251935,230001001900,3.5,0.1,2.5,,LYING
21/12/2022 19:02:05.950,700,AM1V420 @1F3E5C,251940,350000000000,5.3,0.0,0.0,,LYING
21/12/2022 19:02:05.997,747,AM1V420 @1F3E5C,251942,2E0001000000,4.6,0.1,0.0,,LYING
21/12/2022 19:02:05.997,747,AM1V420 @1F3E5C,251945,150002000B00,2.1,0.2,1.1,,LYING
21/12/2022 19:02:06.044,794,AM1V420 @1F3E5C,251947,FFFFFEFF1100,-0.1,-0.2,1.7,,LYING
21/12/2022 19:02:06.044,794,AM1V420 @1F3E5C,251950,F5FFFFFF0C00,-1.1,-0.1,1.2,,LYING
21/12/2022 19:02:06.048,798,AM1V420 @1F3E5C,251952,E0FFFCFF0600,-3.2,-0.4,0.6,,LYING
21/12/2022 19:02:06.095,845,AM1V420 @1F3E5C,251955,D0FFF0FF0200,-4.8,-1.6,0.2,,LYING
21/12/2022 19:02:06.095,845,AM1V420 @1F3E5C,251957,D5FFEDFF0200,-4.3,-1.9,0.2,,LYING
21/12/2022 19:02:06.142,892,AM1V420 @1F3E5C,251960,DDFFE9FF0100,-3.5,-2.3,0.1,,LYING
21/12/2022 19:02:06.145,895,AM1V420 @1F3E5C,251962,E9FFE3FF0300,-2.3,-2.9,0.3,,LYING
21/12/2022 19:02:06.192,942,AM1V420 @1F3E5C,251967,EDFFEFFF0E00,-1.9,-1.7,1.4,,LYING
21/12/2022 19:02:06.192,942,AM1V420 @1F3E5C,251970,DBFFE4FF1400,-3.7,-2.8,2.0,,LYING
21/12/2022 19:02:06.192,942,AM1V420 @1F3E5C,251965,EDFFE6FF0600,-1.9,-2.6,0.6,,LYING
21/12/2022 19:02:06.242,992,AM1V420 @1F3E5C,251972,D3FFF2FF1900,-4.5,-1.4,2.5,,LYING
21/12/2022 19:02:06.243,993,AM1V420 @1F3E5C,251975,B9FFFCFF1800,-7.1,-0.4,2.4,,LYING
21/12/2022 19:02:06.291,1041,AM1V420 @1F3E5C,251977,C4FFEFFF0900,-6.0,-1.7,0.9,,LYING
21/12/2022 19:02:06.296,1046,AM1V420 @1F3E5C,251982,E3FF0200E9FF,-2.9,0.2,-2.3,,LYING
21/12/2022 19:02:06.295,1045,AM1V420 @1F3E5C,251980,E0FFFAFFF7FF,-3.2,-0.6,-0.9,,LYING
21/12/2022 19:02:06.337,1087,AM1V420 @1F3E5C,251985,DBFF0200E0FF,-3.7,0.2,-3.2,,LYING
21/12/2022 19:02:06.339,1089,AM1V420 @1F3E5C,251987,E0FF0100DEFF,-3.2,0.1,-3.4,,LYING
21/12/2022 19:02:06.388,1138,AM1V420 @1F3E5C,251990,E6FF0100E1FF,-2.6,0.1,-3.1,,LYING
21/12/2022 19:02:06.389,1139,AM1V420 @1F3E5C,251992,EBFF0500E6FF,-2.1,0.5,-2.6,,LYING
21/12/2022 19:02:06.390,1140,AM1V420 @1F3E5C,251995,EDFF0000EBFF,-1.9,0.0,-2.1,,LYING
21/12/2022 19:02:06.437,1187,AM1V420 @1F3E5C,252000,F5FF0000FCFF,-1.1,0.0,-0.4,,LYING
21/12/2022 19:02:06.436,1186,AM1V420 @1F3E5C,251997,F1FF0000F3FF,-1.5,0.0,-1.3,,LYING
21/12/2022 19:02:06.487,1237,AM1V420 @1F3E5C,252002,F6FFFFFF0200,-1.0,-0.1,0.2,,LYING
