Log start on,2023-04-28 14:57:59
Feature,Magnetometer
Nodes,AM1V420 @1F3E5C, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa),
28/04/2023 14:57:59.078,54,AM1V420 @1F3E5C,26161,6AFFF3008A00,-150,243,138,,STANDING
28/04/2023 14:57:59.176,147,AM1V420 @1F3E5C,26169,6AFFF4008400,-150,244,132,,STANDING
28/04/2023 14:57:59.176,148,AM1V420 @1F3E5C,26171,6FFFF0007F00,-145,240,127,,STANDING
28/04/2023 14:57:59.179,151,AM1V420 @1F3E5C,26174,6FFFF9007E00,-145,249,126,,STANDING
28/04/2023 14:57:59.224,196,AM1V420 @1F3E5C,26176,70FFF4007E00,-144,244,126,,STANDING
28/04/2023 14:57:59.226,198,AM1V420 @1F3E5C,26179,6AFFF6008800,-150,246,136,,STANDING
28/04/2023 14:57:59.274,246,AM1V420 @1F3E5C,26181,6FFFF1008A00,-145,241,138,,STANDING
28/04/2023 14:57:59.274,246,AM1V420 @1F3E5C,26184,73FFF0008A00,-141,240,138,,STANDING
28/04/2023 14:57:59.274,247,AM1V420 @1F3E5C,26186,6CFFF4008A00,-148,244,138,,STANDING
28/04/2023 14:57:59.324,296,AM1V420 @1F3E5C,26191,75FFF7008400,-139,247,132,,STANDING
28/04/2023 14:57:59.324,296,AM1V420 @1F3E5C,26189,6CFFF0008B00,-148,240,139,,STANDING
28/04/2023 14:57:59.372,344,AM1V420 @1F3E5C,26194,70FFEE008B00,-144,238,139,,STANDING
28/04/2023 14:57:59.372,344,AM1V420 @1F3E5C,26196,6CFFE8008D00,-148,232,141,,STANDING
28/04/2023 14:57:59.373,345,AM1V420 @1F3E5C,26199,6CFFEE008E00,-148,238,142,,STANDING
28/04/2023 14:57:59.421,393,AM1V420 @1F3E5C,26204,73FFF0008700,-141,240,135,,STANDING
28/04/2023 14:57:59.421,393,AM1V420 @1F3E5C,26201,6FFFED008800,-145,237,136,,STANDING
28/04/2023 14:57:59.470,442,AM1V420 @1F3E5C,26206,6CFFEE008800,-148,238,136,,STANDING
28/04/2023 14:57:59.470,442,AM1V420 @1F3E5C,26209,63FFEA008D00,-157,234,141,,STANDING
28/04/2023 14:57:59.519,491,AM1V420 @1F3E5C,26211,6FFFEE008400,-145,238,132,,STANDING
28/04/2023 14:57:59.519,491,AM1V420 @1F3E5C,26214,6FFFF9008B00,-145,249,139,,STANDING
28/04/2023 14:57:59.519,491,AM1V420 @1F3E5C,26216,66FFF7008400,-154,247,132,,STANDING
28/04/2023 14:57:59.568,539,AM1V420 @1F3E5C,26219,70FFF3008700,-144,243,135,,STANDING
28/04/2023 14:57:59.568,540,AM1V420 @1F3E5C,26221,6CFFEE008400,-148,238,132,,STANDING
28/04/2023 14:57:59.617,589,AM1V420 @1F3E5C,26224,6FFFF1008100,-145,241,129,,STANDING
28/04/2023 14:57:59.618,590,AM1V420 @1F3E5C,26229,6DFFF0008E00,-147,240,142,,STANDING
28/04/2023 14:57:59.618,589,AM1V420 @1F3E5C,26226,75FFF1008100,-139,241,129,,STANDING
28/04/2023 14:57:59.665,637,AM1V420 @1F3E5C,26231,6CFFF3008200,-148,243,130,,STANDING
28/04/2023 14:57:59.665,637,AM1V420 @1F3E5C,26234,6DFFF3008A00,-147,243,138,,STANDING
28/04/2023 14:57:59.714,686,AM1V420 @1F3E5C,26236,6FFFEE008100,-145,238,129,,STANDING
28/04/2023 14:57:59.715,687,AM1V420 @1F3E5C,26241,72FFEA008A00,-142,234,138,,STANDING
28/04/2023 14:57:59.714,686,AM1V420 @1F3E5C,26239,69FFF0008A00,-151,240,138,,STANDING
28/04/2023 14:57:59.764,736,AM1V420 @1F3E5C,26246,6CFFF4007F00,-148,244,127,,STANDING
28/04/2023 14:57:59.764,735,AM1V420 @1F3E5C,26244,6FFFEB008500,-145,235,133,,STANDING
28/04/2023 14:57:59.810,782,AM1V420 @1F3E5C,26249,6AFFE7008B00,-150,231,139,,STANDING
28/04/2023 14:57:59.811,783,AM1V420 @1F3E5C,26251,6CFFF4008500,-148,244,133,,STANDING
28/04/2023 14:57:59.815,787,AM1V420 @1F3E5C,26254,6DFFF0008500,-147,240,133,,STANDING
28/04/2023 14:57:59.859,831,AM1V420 @1F3E5C,26259,69FFF3008700,-151,243,135,,STANDING
28/04/2023 14:57:59.858,830,AM1V420 @1F3E5C,26256,70FFE8008500,-144,232,133,,STANDING
28/04/2023 14:57:59.907,879,AM1V420 @1F3E5C,26261,72FFF3008500,-142,243,133,,STANDING
28/04/2023 14:57:59.915,887,AM1V420 @1F3E5C,26264,75FFEA008800,-139,234,136,,STANDING
28/04/2023 14:57:59.957,929,AM1V420 @1F3E5C,26269,6FFFF3008A00,-145,243,138,,STANDING
28/04/2023 14:57:59.957,929,AM1V420 @1F3E5C,26266,75FFEE008700,-139,238,135,,STANDING
28/04/2023 14:57:59.961,933,AM1V420 @1F3E5C,26271,70FFEB008A00,-144,235,138,,STANDING
28/04/2023 14:58:00.006,978,AM1V420 @1F3E5C,26276,6CFFEA008800,-148,234,136,,STANDING
28/04/2023 14:58:00.005,977,AM1V420 @1F3E5C,26274,70FFE5009000,-144,229,144,,STANDING
28/04/2023 14:58:00.054,1026,AM1V420 @1F3E5C,26279,6FFFE8008400,-145,232,132,,STANDING
28/04/2023 14:58:00.054,1026,AM1V420 @1F3E5C,26281,6CFFF0008100,-148,240,129,,STANDING
28/04/2023 14:58:00.059,1031,AM1V420 @1F3E5C,26284,73FFEE007F00,-141,238,127,,STANDING
28/04/2023 14:58:00.103,1076,AM1V420 @1F3E5C,26286,6FFFEA008500,-145,234,133,,STANDING
28/04/2023 14:58:00.103,1076,AM1V420 @1F3E5C,26289,70FFED008800,-144,237,136,,STANDING
28/04/2023 14:58:00.152,1124,AM1V420 @1F3E5C,26291,72FFF4008400,-142,244,132,,STANDING
28/04/2023 14:58:00.152,1125,AM1V420 @1F3E5C,26294,70FFF9008500,-144,249,133,,STANDING
28/04/2023 14:58:00.154,1126,AM1V420 @1F3E5C,26296,7CFFF0008400,-132,240,132,,STANDING
28/04/2023 14:58:00.201,1173,AM1V420 @1F3E5C,26301,72FFEB008400,-142,235,132,,WALKING
28/04/2023 14:58:00.200,1172,AM1V420 @1F3E5C,26299,76FFF1007E00,-138,241,126,,WALKING
28/04/2023 14:58:00.249,1221,AM1V420 @1F3E5C,26304,75FFEE008500,-139,238,133,,WALKING
28/04/2023 14:58:00.249,1221,AM1V420 @1F3E5C,26306,73FFED008200,-141,237,130,,WALKING
28/04/2023 14:58:00.297,1269,AM1V420 @1F3E5C,26309,7BFFEE008500,-133,238,133,,WALKING
28/04/2023 14:58:00.299,1271,AM1V420 @1F3E5C,26314,79FFF0007E00,-135,240,126,,WALKING
28/04/2023 14:58:00.298,1270,AM1V420 @1F3E5C,26311,78FFED008700,-136,237,135,,WALKING
28/04/2023 14:58:00.346,1318,AM1V420 @1F3E5C,26316,78FFE5008500,-136,229,133,,WALKING
28/04/2023 14:58:00.347,1319,AM1V420 @1F3E5C,26319,76FFE5007E00,-138,229,126,,WALKING
28/04/2023 14:58:00.395,1367,AM1V420 @1F3E5C,26321,7BFFE7007E00,-133,231,126,,WALKING
28/04/2023 14:58:00.395,1367,AM1V420 @1F3E5C,26324,73FFE5008400,-141,229,132,,WALKING
28/04/2023 14:58:00.397,1369,AM1V420 @1F3E5C,26326,78FFEA008200,-136,234,130,,WALKING
