Log start on,2022-12-21 18:40:31
Feature,Accelerometer
Nodes,AM1V420 @1F3E5C, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg),
21/12/2022 18:40:31.767,95,AM1V420 @1F3E5C,90167,D8035FFF7000,984,-161,112,,SITTING
21/12/2022 18:40:31.809,137,AM1V420 @1F3E5C,90170,DC035BFF7800,988,-165,120,,SITTING
21/12/2022 18:40:31.811,138,AM1V420 @1F3E5C,90172,DF0359FF7B00,991,-167,123,,SITTING
21/12/2022 18:40:31.860,188,AM1V420 @1F3E5C,90177,D80353FF8100,984,-173,129,,SITTING
21/12/2022 18:40:31.859,187,AM1V420 @1F3E5C,90175,DD035BFF7F00,989,-165,127,,SITTING
21/12/2022 18:40:31.908,236,AM1V420 @1F3E5C,90180,D6034AFF7F00,982,-182,127,,SITTING
21/12/2022 18:40:31.957,285,AM1V420 @1F3E5C,90182,D40350FF8200,980,-176,130,,SITTING
21/12/2022 18:40:31.958,286,AM1V420 @1F3E5C,90185,D0035AFF8700,976,-166,135,,SITTING
21/12/2022 18:40:31.961,289,AM1V420 @1F3E5C,90187,CB0362FF8D00,971,-158,141,,SITTING
21/12/2022 18:40:31.962,290,AM1V420 @1F3E5C,90190,CB0361FF9000,971,-159,144,,SITTING
21/12/2022 18:40:32.004,332,AM1V420 @1F3E5C,90192,CA035AFF9100,970,-166,145,,SITTING
21/12/2022 18:40:32.005,333,AM1V420 @1F3E5C,90195,CD0353FF9100,973,-173,145,,SITTING
21/12/2022 18:40:32.007,335,AM1V420 @1F3E5C,90197,D30350FF8B00,979,-176,139,,SITTING
21/12/2022 18:40:32.053,381,AM1V420 @1F3E5C,90200,DF034AFFA100,991,-182,161,,SITTING
21/12/2022 18:40:32.054,382,AM1V420 @1F3E5C,90202,CC0358FF8100,972,-168,129,,SITTING
21/12/2022 18:40:32.103,431,AM1V420 @1F3E5C,90207,D8035EFF9500,984,-162,149,,SITTING
21/12/2022 18:40:32.102,430,AM1V420 @1F3E5C,90205,DE0359FF8D00,990,-167,141,,SITTING
21/12/2022 18:40:32.104,432,AM1V420 @1F3E5C,90210,CA0369FF8F00,970,-151,143,,SITTING
21/12/2022 18:40:32.152,480,AM1V420 @1F3E5C,90215,D9036BFF7B00,985,-149,123,,SITTING
21/12/2022 18:40:32.152,480,AM1V420 @1F3E5C,90212,D3036BFF7C00,979,-149,124,,SITTING
21/12/2022 18:40:32.202,530,AM1V420 @1F3E5C,90220,E80363FF8600,1000,-157,134,,SITTING
21/12/2022 18:40:32.202,530,AM1V420 @1F3E5C,90217,E3036AFF7900,995,-150,121,,SITTING
21/12/2022 18:40:32.249,577,AM1V420 @1F3E5C,90222,DC035CFF9200,988,-164,146,,SITTING
21/12/2022 18:40:32.250,578,AM1V420 @1F3E5C,90227,D50348FF8400,981,-184,132,,SITTING
21/12/2022 18:40:32.249,577,AM1V420 @1F3E5C,90225,D10353FF8C00,977,-173,140,,SITTING
21/12/2022 18:40:32.299,627,AM1V420 @1F3E5C,90230,DE0340FF8500,990,-192,133,,SITTING
21/12/2022 18:40:32.299,627,AM1V420 @1F3E5C,90232,DC0345FF8900,988,-187,137,,SITTING
21/12/2022 18:40:32.347,675,AM1V420 @1F3E5C,90240,D30374FF7D00,979,-140,125,,SITTING
21/12/2022 18:40:32.347,675,AM1V420 @1F3E5C,90237,DA036BFF7800,986,-149,120,,SITTING
21/12/2022 18:40:32.347,675,AM1V420 @1F3E5C,90235,D50358FF6E00,981,-168,110,,SITTING
21/12/2022 18:40:32.395,723,AM1V420 @1F3E5C,90242,D20372FF7500,978,-142,117,,SITTING
21/12/2022 18:40:32.397,725,AM1V420 @1F3E5C,90245,D1036FFF6C00,977,-145,108,,SITTING
21/12/2022 18:40:32.445,773,AM1V420 @1F3E5C,90250,D00373FF7700,976,-141,119,,SITTING
21/12/2022 18:40:32.444,772,AM1V420 @1F3E5C,90247,CE0377FF7100,974,-137,113,,SITTING
21/12/2022 18:40:32.446,774,AM1V420 @1F3E5C,90252,D5036AFF7100,981,-150,113,,SITTING
21/12/2022 18:40:32.495,822,AM1V420 @1F3E5C,90257,D7035EFF5C00,983,-162,92,,SITTING
21/12/2022 18:40:32.493,821,AM1V420 @1F3E5C,90255,D50363FF6600,981,-157,102,,SITTING
21/12/2022 18:40:32.541,869,AM1V420 @1F3E5C,90260,DB035FFF6300,987,-161,99,,SITTING
21/12/2022 18:40:32.542,870,AM1V420 @1F3E5C,90265,D8036EFF6D00,984,-146,109,,SITTING
21/12/2022 18:40:32.542,870,AM1V420 @1F3E5C,90262,DA036AFF6E00,986,-150,110,,SITTING
21/12/2022 18:40:32.590,919,AM1V420 @1F3E5C,90270,DB0377FF6900,987,-137,105,,SITTING
21/12/2022 18:40:32.590,918,AM1V420 @1F3E5C,90267,D90378FF6800,985,-136,104,,SITTING
21/12/2022 18:40:32.639,967,AM1V420 @1F3E5C,90275,E3035BFF6E00,995,-165,110,,SITTING
21/12/2022 18:40:32.638,966,AM1V420 @1F3E5C,90272,E2036AFF6E00,994,-150,110,,SITTING
21/12/2022 18:40:32.688,1016,AM1V420 @1F3E5C,90280,E20345FF6F00,994,-187,111,,SITTING
21/12/2022 18:40:32.687,1015,AM1V420 @1F3E5C,90277,E3034EFF7000,995,-178,112,,SITTING
21/12/2022 18:40:32.693,1021,AM1V420 @1F3E5C,90282,DD0347FF6D00,989,-185,109,,SITTING
21/12/2022 18:40:32.735,1063,AM1V420 @1F3E5C,90285,D70353FF7200,983,-173,114,,SITTING
21/12/2022 18:40:32.736,1064,AM1V420 @1F3E5C,90287,D0035EFF7200,976,-162,114,,SITTING
21/12/2022 18:40:32.784,1112,AM1V420 @1F3E5C,90290,CD0374FF6C00,973,-140,108,,SITTING
21/12/2022 18:40:32.786,1114,AM1V420 @1F3E5C,90292,D50385FF6600,981,-123,102,,SITTING
21/12/2022 18:40:32.787,1115,AM1V420 @1F3E5C,90295,DA0395FF6A00,986,-107,106,,SITTING
21/12/2022 18:40:32.832,1160,AM1V420 @1F3E5C,90297,DD03A7FF6700,989,-89,103,,SITTING
21/12/2022 18:40:32.835,1163,AM1V420 @1F3E5C,90300,EF03A7FF7600,1007,-89,118,,SITTING
21/12/2022 18:40:32.882,1210,AM1V420 @1F3E5C,90302,DE03ADFF6300,990,-83,99,,SITTING
21/12/2022 18:40:32.886,1214,AM1V420 @1F3E5C,90305,E703B2FF6400,999,-78,100,,SITTING
21/12/2022 18:40:32.887,1215,AM1V420 @1F3E5C,90307,E503AEFF7400,997,-82,116,,SITTING
21/12/2022 18:40:32.936,1264,AM1V420 @1F3E5C,90310,D203C0FF7C00,978,-64,124,,SITTING
21/12/2022 18:40:32.936,1264,AM1V420 @1F3E5C,90312,D403CDFF6300,980,-51,99,,SITTING
21/12/2022 18:40:32.980,1308,AM1V420 @1F3E5C,90315,D503D4FF5100,981,-44,81,,SITTING
21/12/2022 18:40:32.988,1316,AM1V420 @1F3E5C,90317,D803D6FF4200,984,-42,66,,SITTING
21/12/2022 18:40:33.031,1359,AM1V420 @1F3E5C,90322,ED03DEFF4500,1005,-34,69,,SITTING
21/12/2022 18:40:33.033,1361,AM1V420 @1F3E5C,90325,E603E9FF4900,998,-23,73,,SITTING
21/12/2022 18:40:33.031,1359,AM1V420 @1F3E5C,90320,E403DDFF4200,996,-35,66,,SITTING
21/12/2022 18:40:33.077,1405,AM1V420 @1F3E5C,90327,DB0300004500,987,0,69,,SITTING
21/12/2022 18:40:33.078,1406,AM1V420 @1F3E5C,90330,E50309004200,997,9,66,,SITTING
21/12/2022 18:40:33.127,1455,AM1V420 @1F3E5C,90335,F10317003400,1009,23,52,,SITTING
