Log start on,2022-12-21 19:02:05
Feature,Accelerometer
Nodes,AM1V420 @1F3E5C, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg),
21/12/2022 19:02:05.274,24,AM1V420 @1F3E5C,251855,6F009E002CFC,111,158,-980,,LYING
21/12/2022 19:02:05.312,62,AM1V420 @1F3E5C,251857,73009E002AFC,115,158,-982,,LYING
21/12/2022 19:02:05.313,63,AM1V420 @1F3E5C,251860,76009E002FFC,118,158,-977,,LYING
21/12/2022 19:02:05.361,111,AM1V420 @1F3E5C,251862,7700A10030FC,119,161,-976,,LYING
21/12/2022 19:02:05.363,113,AM1V420 @1F3E5C,251865,7500A4002CFC,117,164,-980,,LYING
21/12/2022 19:02:05.412,161,AM1V420 @1F3E5C,251867,75009B0049FC,117,155,-951,,LYING
21/12/2022 19:02:05.412,162,AM1V420 @1F3E5C,251870,6900A80023FC,105,168,-989,,LYING
21/12/2022 19:02:05.414,164,AM1V420 @1F3E5C,251872,71009D002EFC,113,157,-978,,LYING
21/12/2022 19:02:05.462,212,AM1V420 @1F3E5C,251875,67009D0045FC,103,157,-955,,LYING
21/12/2022 19:02:05.466,216,AM1V420 @1F3E5C,251877,6D00A60024FC,109,166,-988,,LYING
21/12/2022 19:02:05.507,257,AM1V420 @1F3E5C,251880,7500A20012FC,117,162,-1006,,LYING
21/12/2022 19:02:05.508,258,AM1V420 @1F3E5C,251882,7D00A4001EFC,125,164,-994,,LYING
21/12/2022 19:02:05.509,259,AM1V420 @1F3E5C,251885,7C00AC0035FC,124,172,-971,,LYING
21/12/2022 19:02:05.558,308,AM1V420 @1F3E5C,251887,7700AF0039FC,119,175,-967,,LYING
21/12/2022 19:02:05.558,308,AM1V420 @1F3E5C,251890,7400AA002FFC,116,170,-977,,LYING
21/12/2022 19:02:05.607,357,AM1V420 @1F3E5C,251892,6F00A6002DFC,111,166,-979,,LYING
21/12/2022 19:02:05.607,357,AM1V420 @1F3E5C,251895,70009C0035FC,112,156,-971,,LYING
21/12/2022 19:02:05.608,358,AM1V420 @1F3E5C,251897,670093003AFC,103,147,-966,,LYING
21/12/2022 19:02:05.655,405,AM1V420 @1F3E5C,251900,5B008E003CFC,91,142,-964,,LYING
21/12/2022 19:02:05.656,406,AM1V420 @1F3E5C,251902,55008B003CFC,85,139,-964,,LYING
21/12/2022 19:02:05.703,453,AM1V420 @1F3E5C,251905,57008F0033FC,87,143,-973,,LYING
21/12/2022 19:02:05.705,455,AM1V420 @1F3E5C,251910,5B008C0034FC,91,140,-972,,LYING
21/12/2022 19:02:05.704,454,AM1V420 @1F3E5C,251907,5C008E0043FC,92,142,-957,,LYING
21/12/2022 19:02:05.753,503,AM1V420 @1F3E5C,251912,60008E0037FC,96,142,-969,,LYING
21/12/2022 19:02:05.755,505,AM1V420 @1F3E5C,251915,640096003CFC,100,150,-964,,LYING
21/12/2022 19:02:05.801,551,AM1V420 @1F3E5C,251917,6A009E0035FC,106,158,-971,,LYING
21/12/2022 19:02:05.802,552,AM1V420 @1F3E5C,251920,6C009C0035FC,108,156,-971,,LYING
21/12/2022 19:02:05.850,600,AM1V420 @1F3E5C,251922,69009D002FFC,105,157,-977,,LYING
21/12/2022 19:02:05.853,603,AM1V420 @1F3E5C,251927,6F00AD0030FC,111,173,-976,,LYING
21/12/2022 19:02:05.853,603,AM1V420 @1F3E5C,251925,6A00A90029FC,106,169,-983,,LYING
21/12/2022 19:02:05.897,647,AM1V420 @1F3E5C,251930,7700A10035FC,119,161,-971,,LYING
21/12/2022 19:02:05.899,649,AM1V420 @1F3E5C,251932,8400A0002DFC,132,160,-979,,LYING
21/12/2022 19:02:05.948,698,AM1V420 @1F3E5C,251937,7E009B002DFC,126,155,-979,,LYING
21/12/2022 19:02:05.948,698,AM1V420 @1F3E5C,251935,8400A1001CFC,132,161,-996,,LYING
21/12/2022 19:02:05.950,700,AM1V420 @1F3E5C,251940,6D009D002FFC,109,157,-977,,LYING
21/12/2022 19:02:05.997,747,AM1V420 @1F3E5C,251945,6500800018FC,101,128,-1000,,LYING
21/12/2022 19:02:05.997,747,AM1V420 @1F3E5C,251942,620097002AFC,98,151,-982,,LYING
21/12/2022 19:02:06.044,794,AM1V420 @1F3E5C,251947,70006F001BFC,112,111,-997,,LYING
21/12/2022 19:02:06.044,794,AM1V420 @1F3E5C,251950,76005C001BFC,118,92,-997,,LYING
21/12/2022 19:02:06.048,798,AM1V420 @1F3E5C,251952,7A0050001BFC,122,80,-997,,LYING
21/12/2022 19:02:06.095,845,AM1V420 @1F3E5C,251955,7A00610026FC,122,97,-986,,LYING
21/12/2022 19:02:06.095,845,AM1V420 @1F3E5C,251957,710082002DFC,113,130,-979,,LYING
21/12/2022 19:02:06.142,892,AM1V420 @1F3E5C,251960,6D009A0037FC,109,154,-969,,LYING
21/12/2022 19:02:06.145,895,AM1V420 @1F3E5C,251962,6800A10040FC,104,161,-960,,LYING
21/12/2022 19:02:06.192,942,AM1V420 @1F3E5C,251965,5F00A50044FC,95,165,-956,,LYING
21/12/2022 19:02:06.192,942,AM1V420 @1F3E5C,251970,64009F003FFC,100,159,-961,,LYING
21/12/2022 19:02:06.192,942,AM1V420 @1F3E5C,251967,5B00A1003FFC,91,161,-961,,LYING
21/12/2022 19:02:06.243,993,AM1V420 @1F3E5C,251975,65009A002CFC,101,154,-980,,LYING
21/12/2022 19:02:06.242,992,AM1V420 @1F3E5C,251972,5C009E002BFC,92,158,-981,,LYING
21/12/2022 19:02:06.295,1045,AM1V420 @1F3E5C,251980,70009A0034FC,112,154,-972,,LYING
21/12/2022 19:02:06.296,1046,AM1V420 @1F3E5C,251982,7800A5001DFC,120,165,-995,,LYING
21/12/2022 19:02:06.291,1041,AM1V420 @1F3E5C,251977,6D0092003BFC,109,146,-965,,LYING
21/12/2022 19:02:06.337,1087,AM1V420 @1F3E5C,251985,6E00A60016FC,110,166,-1002,,LYING
21/12/2022 19:02:06.338,1088,AM1V420 @1F3E5C,251987,6600AA0028FC,102,170,-984,,LYING
21/12/2022 19:02:06.388,1138,AM1V420 @1F3E5C,251990,5F00A80035FC,95,168,-971,,LYING
21/12/2022 19:02:06.389,1139,AM1V420 @1F3E5C,251992,5F00A3003AFC,95,163,-966,,LYING
21/12/2022 19:02:06.389,1139,AM1V420 @1F3E5C,251995,57009F0039FC,87,159,-967,,LYING
21/12/2022 19:02:06.436,1186,AM1V420 @1F3E5C,251997,52009D003BFC,82,157,-965,,LYING
21/12/2022 19:02:06.437,1187,AM1V420 @1F3E5C,252000,520099003AFC,82,153,-966,,LYING
21/12/2022 19:02:06.487,1237,AM1V420 @1F3E5C,252002,5900970039FC,89,151,-967,,LYING
21/12/2022 19:02:06.487,1237,AM1V420 @1F3E5C,252005,5D009D0038FC,93,157,-968,,LYING
21/12/2022 19:02:06.487,1237,AM1V420 @1F3E5C,252007,5E00A20024FC,94,162,-988,,LYING
21/12/2022 19:02:06.533,1283,AM1V420 @1F3E5C,252012,6900A40036FC,105,164,-970,,LYING
21/12/2022 19:02:06.533,1283,AM1V420 @1F3E5C,252010,6300A00032FC,99,160,-974,,LYING
21/12/2022 19:02:06.585,1335,AM1V420 @1F3E5C,252017,7000AA0025FC,112,170,-987,,LYING
21/12/2022 19:02:06.584,1334,AM1V420 @1F3E5C,252015,6E00AA0029FC,110,170,-983,,LYING
21/12/2022 19:02:06.631,1380,AM1V420 @1F3E5C,252020,6A00AA002BFC,106,170,-981,,LYING
21/12/2022 19:02:06.631,1381,AM1V420 @1F3E5C,252022,6700A60032FC,103,166,-974,,LYING
21/12/2022 19:02:06.633,1383,AM1V420 @1F3E5C,252025,6400A50032FC,100,165,-974,,LYING
21/12/2022 19:02:06.680,1430,AM1V420 @1F3E5C,252027,60009C0033FC,96,156,-973,,LYING
21/12/2022 19:02:06.680,1430,AM1V420 @1F3E5C,252030,5E00990035FC,94,153,-971,,LYING
21/12/2022 19:02:06.728,1478,AM1V420 @1F3E5C,252032,5C00970036FC,92,151,-970,,LYING
21/12/2022 19:02:06.730,1480,AM1V420 @1F3E5C,252037,5E009A002FFC,94,154,-977,,LYING
21/12/2022 19:02:06.730,1480,AM1V420 @1F3E5C,252035,5B00980033FC,91,152,-973,,LYING
21/12/2022 19:02:06.776,1526,AM1V420 @1F3E5C,252040,60009D002AFC,96,157,-982,,LYING
21/12/2022 19:02:06.777,1527,AM1V420 @1F3E5C,252042,60009C002CFC,96,156,-980,,LYING
21/12/2022 19:02:06.825,1575,AM1V420 @1F3E5C,252045,63009B002DFC,99,155,-979,,LYING
21/12/2022 19:02:06.827,1577,AM1V420 @1F3E5C,252050,6200A20031FC,98,162,-975,,LYING
21/12/2022 19:02:06.826,1576,AM1V420 @1F3E5C,252047,62009E002CFC,98,158,-980,,LYING
21/12/2022 19:02:06.875,1625,AM1V420 @1F3E5C,252052,6000A60030FC,96,166,-976,,LYING
21/12/2022 19:02:06.876,1626,AM1V420 @1F3E5C,252055,6000A50033FC,96,165,-973,,LYING
21/12/2022 19:02:06.925,1675,AM1V420 @1F3E5C,252057,5E00A10036FC,94,161,-970,,LYING
21/12/2022 19:02:06.926,1676,AM1V420 @1F3E5C,252060,5E009F0032FC,94,159,-974,,LYING
21/12/2022 19:02:06.973,1723,AM1V420 @1F3E5C,252062,5E00A2002CFC,94,162,-980,,LYING
21/12/2022 19:02:06.976,1726,AM1V420 @1F3E5C,252067,5E00A4002FFC,94,164,-977,,LYING
21/12/2022 19:02:06.975,1725,AM1V420 @1F3E5C,252065,5D009C003EFC,93,156,-962,,LYING
21/12/2022 19:02:07.019,1769,AM1V420 @1F3E5C,252070,5E009D0034FC,94,157,-972,,LYING
21/12/2022 19:02:07.021,1771,AM1V420 @1F3E5C,252072,5E009B003BFC,94,155,-965,,LYING
21/12/2022 19:02:07.071,1821,AM1V420 @1F3E5C,252080,68009B002CFC,104,155,-980,,LYING
21/12/2022 19:02:07.071,1821,AM1V420 @1F3E5C,252077,67009D0025FC,103,157,-987,,LYING
21/12/2022 19:02:07.070,1820,AM1V420 @1F3E5C,252075,5F00A0002AFC,95,160,-982,,LYING
21/12/2022 19:02:07.118,1868,AM1V420 @1F3E5C,252082,64009C0033FC,100,156,-973,,LYING
21/12/2022 19:02:07.119,1869,AM1V420 @1F3E5C,252085,6200980032FC,98,152,-974,,LYING
21/12/2022 19:02:07.166,1916,AM1V420 @1F3E5C,252087,5F009B002FFC,95,155,-977,,LYING
21/12/2022 19:02:07.167,1917,AM1V420 @1F3E5C,252090,5D00A2002FFC,93,162,-977,,LYING
21/12/2022 19:02:07.168,1918,AM1V420 @1F3E5C,252092,5E00A40031FC,94,164,-975,,LYING
21/12/2022 19:02:07.217,1967,AM1V420 @1F3E5C,252097,63009D0031FC,99,157,-975,,LYING
21/12/2022 19:02:07.216,1966,AM1V420 @1F3E5C,252095,6100A20030FC,97,162,-976,,LYING
21/12/2022 19:02:07.265,2015,AM1V420 @1F3E5C,252100,6500A2002DFC,101,162,-979,,LYING
21/12/2022 19:02:07.266,2016,AM1V420 @1F3E5C,252102,67009C0029FC,103,156,-983,,LYING
21/12/2022 19:02:07.266,2016,AM1V420 @1F3E5C,252105,65009C0037FC,101,156,-969,,LYING
21/12/2022 19:02:07.314,2064,AM1V420 @1F3E5C,252107,66009D0038FC,102,157,-968,,LYING
21/12/2022 19:02:07.314,2064,AM1V420 @1F3E5C,252110,66009E002BFC,102,158,-981,,LYING
21/12/2022 19:02:07.362,2112,AM1V420 @1F3E5C,252112,67009C002AFC,103,156,-982,,LYING
21/12/2022 19:02:07.366,2116,AM1V420 @1F3E5C,252115,6A009C0032FC,106,156,-974,,LYING
21/12/2022 19:02:07.412,2162,AM1V420 @1F3E5C,252117,6700A00030FC,103,160,-976,,LYING
21/12/2022 19:02:07.413,2163,AM1V420 @1F3E5C,252120,65009F002AFC,101,159,-982,,LYING
21/12/2022 19:02:07.417,2167,AM1V420 @1F3E5C,252122,63009A0033FC,99,154,-973,,LYING
21/12/2022 19:02:07.458,2208,AM1V420 @1F3E5C,252125,64009B0035FC,100,155,-971,,LYING
21/12/2022 19:02:07.459,2209,AM1V420 @1F3E5C,252127,66009D0032FC,102,157,-974,,LYING
