Log start on,2023-01-07 14:08:02
Feature,Gyroscope
Nodes,AM1V420 @1F3E5C, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps),
07/01/2023 14:08:02.135,34,AM1V420 @1F3E5C,243944,32006F0061FF,5.0,11.1,-15.9,,WALKING
07/01/2023 14:08:02.228,127,AM1V420 @1F3E5C,243952,D5FF41FF7CFF,-4.3,-19.1,-13.2,,WALKING
07/01/2023 14:08:02.230,129,AM1V420 @1F3E5C,243954,CAFF5BFFA3FF,-5.4,-16.5,-9.3,,WALKING
07/01/2023 14:08:02.278,177,AM1V420 @1F3E5C,243959,7200BA005000,11.4,18.6,8.0,,WALKING
07/01/2023 14:08:02.279,178,AM1V420 @1F3E5C,243962,85001C017200,13.3,28.4,11.4,,WALKING
07/01/2023 14:08:02.278,177,AM1V420 @1F3E5C,243957,4C00CFFFF8FF,7.6,-4.9,-0.8,,WALKING
07/01/2023 14:08:02.326,225,AM1V420 @1F3E5C,243964,8A0038006900,13.8,5.6,10.5,,WALKING
07/01/2023 14:08:02.328,227,AM1V420 @1F3E5C,243967,510080FF7000,8.1,-12.8,11.2,,WALKING
07/01/2023 14:08:02.376,275,AM1V420 @1F3E5C,243969,38007AFF8900,5.6,-13.4,13.7,,WALKING
07/01/2023 14:08:02.377,276,AM1V420 @1F3E5C,243974,3C003100A100,6.0,4.9,16.1,,WALKING
07/01/2023 14:08:02.376,275,AM1V420 @1F3E5C,243972,3500D4FF9700,5.3,-4.4,15.1,,WALKING
07/01/2023 14:08:02.422,321,AM1V420 @1F3E5C,243977,490056009E00,7.3,8.6,15.8,,WALKING
07/01/2023 14:08:02.424,323,AM1V420 @1F3E5C,243979,5B002E009600,9.1,4.6,15.0,,WALKING
07/01/2023 14:08:02.472,371,AM1V420 @1F3E5C,243982,6700F1FF8E00,10.3,-1.5,14.2,,WALKING
07/01/2023 14:08:02.474,373,AM1V420 @1F3E5C,243987,4100BFFF7000,6.5,-6.5,11.2,,WALKING
07/01/2023 14:08:02.472,371,AM1V420 @1F3E5C,243984,5200C4FF8100,8.2,-6.0,12.9,,WALKING
07/01/2023 14:08:02.522,421,AM1V420 @1F3E5C,243992,120012004400,1.8,1.8,6.8,,WALKING
07/01/2023 14:08:02.522,421,AM1V420 @1F3E5C,243989,2C00EEFF5F00,4.4,-1.8,9.5,,WALKING
07/01/2023 14:08:02.571,470,AM1V420 @1F3E5C,243999,5C0028003A00,9.2,4.0,5.8,,WALKING
07/01/2023 14:08:02.570,469,AM1V420 @1F3E5C,243997,430020002B00,6.7,3.2,4.3,,WALKING
07/01/2023 14:08:02.569,469,AM1V420 @1F3E5C,243994,120022002E00,1.8,3.4,4.6,,WALKING
07/01/2023 14:08:02.620,519,AM1V420 @1F3E5C,244002,610004003400,9.7,0.4,5.2,,WALKING
07/01/2023 14:08:02.621,520,AM1V420 @1F3E5C,244004,690020003700,10.5,3.2,5.5,,WALKING
07/01/2023 14:08:02.669,568,AM1V420 @1F3E5C,244007,E6FF1A003000,-2.6,2.6,4.8,,WALKING
07/01/2023 14:08:02.669,568,AM1V420 @1F3E5C,244009,BAFF04002800,-7.0,0.4,4.0,,WALKING
07/01/2023 14:08:02.717,616,AM1V420 @1F3E5C,244012,D3FF31004300,-4.5,4.9,6.7,,WALKING
07/01/2023 14:08:02.718,617,AM1V420 @1F3E5C,244017,4B005B008F00,7.5,9.1,14.3,,WALKING
07/01/2023 14:08:02.717,616,AM1V420 @1F3E5C,244014,210027006D00,3.3,3.9,10.9,,WALKING
