Log start on,2023-01-07 14:13:22
Feature,Gyroscope
Nodes,AM1V420 @1F3E5C, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps),
07/01/2023 14:13:22.182,39,AM1V420 @1F3E5C,283949,1400AB003B00,2.0,17.1,5.9,,WALKING
07/01/2023 14:13:22.190,39,AM1V420 @1F3E5C,283951,1400AB003B00,2.0,17.1,5.9,,WALKING
07/01/2023 14:13:22.210,39,AM1V420 @1F3E5C,283951,1400AB003B00,2.0,17.1,5.9,,WALKING
07/01/2023 14:13:22.230,39,AM1V420 @1F3E5C,283951,1400AB003B00,2.0,17.1,5.9,,WALKING
07/01/2023 14:13:22.276,125,AM1V420 @1F3E5C,283959,73FFDDFF7700,-14.1,-3.5,11.9,,WALKING
07/01/2023 14:13:22.278,127,AM1V420 @1F3E5C,283961,04FF06009300,-25.2,0.6,14.7,,WALKING
07/01/2023 14:13:22.325,174,AM1V420 @1F3E5C,283964,0AFF0E008C00,-24.6,1.4,14.0,,WALKING
07/01/2023 14:13:22.327,176,AM1V420 @1F3E5C,283966,88FF4EFF5400,-12.0,-17.8,8.4,,WALKING
07/01/2023 14:13:22.375,224,AM1V420 @1F3E5C,283971,3A00D4FE4800,5.8,-30.0,7.2,,WALKING
07/01/2023 14:13:22.376,225,AM1V420 @1F3E5C,283974,BE0024014400,19.0,29.2,6.8,,WALKING
07/01/2023 14:13:22.375,224,AM1V420 @1F3E5C,283969,CFFFE0FD2800,-4.9,-54.4,4.0,,WALKING
07/01/2023 14:13:22.425,274,AM1V420 @1F3E5C,283976,A70038010A00,16.7,31.2,1.0,,WALKING
07/01/2023 14:13:22.425,274,AM1V420 @1F3E5C,283979,8BFF3600BDFF,-11.7,5.4,-6.7,,WALKING
07/01/2023 14:13:22.472,321,AM1V420 @1F3E5C,283981,7EFF4BFF9AFF,-13.0,-18.1,-10.2,,WALKING
07/01/2023 14:13:22.472,321,AM1V420 @1F3E5C,283984,B7FF48FFA5FF,-7.3,-18.4,-9.1,,WALKING
07/01/2023 14:13:22.473,322,AM1V420 @1F3E5C,283986,B6FF4DFFA5FF,-7.4,-17.9,-9.1,,WALKING
07/01/2023 14:13:22.522,371,AM1V420 @1F3E5C,283989,2E00A8FFAAFF,4.6,-8.8,-8.6,,WALKING
07/01/2023 14:13:22.522,371,AM1V420 @1F3E5C,283991,B100FAFFAEFF,17.7,-0.6,-8.2,,WALKING
07/01/2023 14:13:22.571,420,AM1V420 @1F3E5C,283996,3E001F00CEFF,6.2,3.1,-5.0,,WALKING
07/01/2023 14:13:22.571,420,AM1V420 @1F3E5C,283999,DDFFEBFFC0FF,-3.5,-2.1,-6.4,,WALKING
07/01/2023 14:13:22.571,420,AM1V420 @1F3E5C,283994,B1002300C6FF,17.7,3.5,-5.8,,WALKING
07/01/2023 14:13:22.619,468,AM1V420 @1F3E5C,284001,B6FFB3FFABFF,-7.4,-7.7,-8.5,,WALKING
07/01/2023 14:13:22.620,469,AM1V420 @1F3E5C,284004,BFFF97FFA1FF,-6.5,-10.5,-9.5,,WALKING
07/01/2023 14:13:22.669,518,AM1V420 @1F3E5C,284006,D6FF82FF98FF,-4.2,-12.6,-10.4,,WALKING
07/01/2023 14:13:22.669,518,AM1V420 @1F3E5C,284009,DEFF7BFF9AFF,-3.4,-13.3,-10.2,,WALKING
07/01/2023 14:13:22.715,564,AM1V420 @1F3E5C,284011,DBFFA1FFA3FF,-3.7,-9.5,-9.3,,WALKING
07/01/2023 14:13:22.715,564,AM1V420 @1F3E5C,284014,CBFF96FFAEFF,-5.3,-10.6,-8.2,,WALKING
07/01/2023 14:13:22.717,566,AM1V420 @1F3E5C,284016,A5FF7EFFB8FF,-9.1,-13.0,-7.2,,WALKING
07/01/2023 14:13:22.764,613,AM1V420 @1F3E5C,284019,6DFF81FFADFF,-14.7,-12.7,-8.3,,WALKING
07/01/2023 14:13:22.764,613,AM1V420 @1F3E5C,284021,34FF98FF97FF,-20.4,-10.4,-10.5,,WALKING
07/01/2023 14:13:22.815,664,AM1V420 @1F3E5C,284029,E9FF6EFFAFFF,-2.3,-14.6,-8.1,,WALKING
07/01/2023 14:13:22.814,663,AM1V420 @1F3E5C,284024,62FF91FF86FF,-15.8,-11.1,-12.2,,WALKING
07/01/2023 14:13:22.814,663,AM1V420 @1F3E5C,284026,C1FF76FF93FF,-6.3,-13.8,-10.9,,WALKING
07/01/2023 14:13:22.862,711,AM1V420 @1F3E5C,284031,B5FF7FFFC0FF,-7.5,-12.9,-6.4,,WALKING
07/01/2023 14:13:22.863,712,AM1V420 @1F3E5C,284034,3EFF6CFFCFFF,-19.4,-14.8,-4.9,,WALKING
07/01/2023 14:13:22.913,762,AM1V420 @1F3E5C,284039,9AFF1BFED4FF,-10.2,-48.5,-4.4,,WALKING
07/01/2023 14:13:22.911,760,AM1V420 @1F3E5C,284036,70FFB7FEC5FF,-14.4,-32.9,-5.9,,WALKING
07/01/2023 14:13:22.916,766,AM1V420 @1F3E5C,284041,0DFF2AFFEFFF,-24.3,-21.4,-1.7,,WALKING
07/01/2023 14:13:22.962,811,AM1V420 @1F3E5C,284044,8AFF8D000B00,-11.8,14.1,1.1,,WALKING
07/01/2023 14:13:22.963,812,AM1V420 @1F3E5C,284046,1500A4004600,2.1,16.4,7.0,,WALKING
07/01/2023 14:13:23.014,863,AM1V420 @1F3E5C,284049,A40017004E00,16.4,2.3,7.8,,WALKING
07/01/2023 14:13:23.017,866,AM1V420 @1F3E5C,284051,870090FF3C00,13.5,-11.2,6.0,,WALKING
07/01/2023 14:13:23.018,867,AM1V420 @1F3E5C,284054,AA00ACFF0A00,17.0,-8.4,1.0,,WALKING
07/01/2023 14:13:23.059,908,AM1V420 @1F3E5C,284056,A2000100F2FF,16.2,0.1,-1.4,,WALKING
07/01/2023 14:13:23.060,909,AM1V420 @1F3E5C,284059,58006B001700,8.8,10.7,2.3,,WALKING
07/01/2023 14:13:23.109,958,AM1V420 @1F3E5C,284061,1A0096004300,2.6,15.0,6.7,,WALKING
07/01/2023 14:13:23.109,958,AM1V420 @1F3E5C,284064,250066005400,3.7,10.2,8.4,,WALKING
07/01/2023 14:13:23.156,1005,AM1V420 @1F3E5C,284069,8000CCFF5400,12.8,-5.2,8.4,,WALKING
07/01/2023 14:13:23.157,1006,AM1V420 @1F3E5C,284071,7900A8FF5400,12.1,-8.8,8.4,,WALKING
07/01/2023 14:13:23.155,1004,AM1V420 @1F3E5C,284066,480019005500,7.2,2.5,8.5,,WALKING
07/01/2023 14:13:23.203,1052,AM1V420 @1F3E5C,284074,2B00AFFF5700,4.3,-8.1,8.7,,WALKING
07/01/2023 14:13:23.204,1053,AM1V420 @1F3E5C,284076,D2FFB4FF5200,-4.6,-7.6,8.2,,WALKING
07/01/2023 14:13:23.252,1101,AM1V420 @1F3E5C,284079,93FF90FF4A00,-10.9,-11.2,7.4,,WALKING
07/01/2023 14:13:23.252,1101,AM1V420 @1F3E5C,284081,82FF5EFF4100,-12.6,-16.2,6.5,,WALKING
07/01/2023 14:13:23.254,1103,AM1V420 @1F3E5C,284084,94FF77FF4000,-10.8,-13.7,6.4,,WALKING
07/01/2023 14:13:23.302,1151,AM1V420 @1F3E5C,284086,BAFFDFFF5100,-7.0,-3.3,8.1,,WALKING
07/01/2023 14:13:23.305,1154,AM1V420 @1F3E5C,284089,BDFF85FF6600,-6.7,-12.3,10.2,,WALKING
07/01/2023 14:13:23.353,1202,AM1V420 @1F3E5C,284091,62FF12FF7000,-15.8,-23.8,11.2,,WALKING
07/01/2023 14:13:23.354,1203,AM1V420 @1F3E5C,284096,1200A6FF6B00,1.8,-9.0,10.7,,WALKING
07/01/2023 14:13:23.354,1203,AM1V420 @1F3E5C,284094,4DFF34FF7600,-17.9,-20.4,11.8,,WALKING
07/01/2023 14:13:23.399,1248,AM1V420 @1F3E5C,284099,6C0098FE4800,10.8,-36.0,7.2,,WALKING
07/01/2023 14:13:23.403,1252,AM1V420 @1F3E5C,284101,5F0073FD0A00,9.5,-65.3,1.0,,WALKING
07/01/2023 14:13:23.448,1297,AM1V420 @1F3E5C,284104,700004FF1300,11.2,-25.2,1.9,,WALKING
07/01/2023 14:13:23.448,1297,AM1V420 @1F3E5C,284106,29011E011E00,29.7,28.6,3.0,,WALKING
07/01/2023 14:13:23.498,1347,AM1V420 @1F3E5C,284109,C1006501FFFF,19.3,35.7,-0.1,,WALKING
