Log start on,2023-01-07 14:24:43
Feature,Gyroscope
Nodes,AM1V420 @1F3E5C, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps),
07/01/2023 14:24:43.226,30,AM1V420 @1F3E5C,369079,0800CFFE74FF,0.8,-30.5,-14.0,,WALKING
07/01/2023 14:24:43.273,77,AM1V420 @1F3E5C,369084,DF00A5FFF9FF,22.3,-9.1,-0.7,,WALKING
07/01/2023 14:24:43.273,77,AM1V420 @1F3E5C,369082,5D004BFFADFF,9.3,-18.1,-8.3,,WALKING
07/01/2023 14:24:43.275,79,AM1V420 @1F3E5C,369087,E60095002A00,23.0,14.9,4.2,,WALKING
07/01/2023 14:24:43.322,126,AM1V420 @1F3E5C,369089,4401CE002600,32.4,20.6,3.8,,WALKING
07/01/2023 14:24:43.323,127,AM1V420 @1F3E5C,369092,1D01D9001200,28.5,21.7,1.8,,WALKING
07/01/2023 14:24:43.372,176,AM1V420 @1F3E5C,369094,E20009000E00,22.6,0.9,1.4,,WALKING
07/01/2023 14:24:43.373,177,AM1V420 @1F3E5C,369097,B40038001C00,18.0,5.6,2.8,,WALKING
07/01/2023 14:24:43.422,226,AM1V420 @1F3E5C,369102,730024008000,11.5,3.6,12.8,,WALKING
07/01/2023 14:24:43.422,226,AM1V420 @1F3E5C,369099,9D006E004300,15.7,11.0,6.7,,WALKING
07/01/2023 14:24:43.422,226,AM1V420 @1F3E5C,369104,81000A00AD00,12.9,1.0,17.3,,WALKING
07/01/2023 14:24:43.469,273,AM1V420 @1F3E5C,369107,A8002700B900,16.8,3.9,18.5,,WALKING
07/01/2023 14:24:43.471,275,AM1V420 @1F3E5C,369109,93003800A800,14.7,5.6,16.8,,WALKING
07/01/2023 14:24:43.518,322,AM1V420 @1F3E5C,369112,4D0001009800,7.7,0.1,15.2,,WALKING
07/01/2023 14:24:43.519,323,AM1V420 @1F3E5C,369114,1900B5FF8C00,2.5,-7.5,14.0,,WALKING
07/01/2023 14:24:43.521,325,AM1V420 @1F3E5C,369117,0E008DFF8500,1.4,-11.5,13.3,,WALKING
07/01/2023 14:24:43.565,369,AM1V420 @1F3E5C,369119,230081FF8200,3.5,-12.7,13.0,,WALKING
07/01/2023 14:24:43.566,370,AM1V420 @1F3E5C,369122,560082FF8A00,8.6,-12.6,13.8,,WALKING
07/01/2023 14:24:43.617,421,AM1V420 @1F3E5C,369127,23001500B200,3.5,2.1,17.8,,WALKING
07/01/2023 14:24:43.617,421,AM1V420 @1F3E5C,369124,7200BAFFA100,11.4,-7.0,16.1,,WALKING
07/01/2023 14:24:43.618,422,AM1V420 @1F3E5C,369129,A5FF3500BA00,-9.1,5.3,18.6,,WALKING
07/01/2023 14:24:43.664,468,AM1V420 @1F3E5C,369132,63FF1D00BE00,-15.7,2.9,19.0,,WALKING
07/01/2023 14:24:43.666,470,AM1V420 @1F3E5C,369134,37FF1600BC00,-20.1,2.2,18.8,,WALKING
07/01/2023 14:24:43.713,517,AM1V420 @1F3E5C,369139,4F009E00C600,7.9,15.8,19.8,,WALKING
07/01/2023 14:24:43.714,518,AM1V420 @1F3E5C,369142,A9FFFEFF9E00,-8.7,-0.2,15.8,,WALKING
07/01/2023 14:24:43.713,517,AM1V420 @1F3E5C,369137,97FF4D00B900,-10.5,7.7,18.5,,WALKING
07/01/2023 14:24:43.764,568,AM1V420 @1F3E5C,369147,C1FF32FF6800,-6.3,-20.6,10.4,,WALKING
07/01/2023 14:24:43.762,566,AM1V420 @1F3E5C,369144,88FF4EFE7400,-12.0,-43.4,11.6,,WALKING
07/01/2023 14:24:43.811,615,AM1V420 @1F3E5C,369152,8EFFF901DAFF,-11.4,50.5,-3.8,,WALKING
07/01/2023 14:24:43.811,615,AM1V420 @1F3E5C,369149,230014012E00,3.5,27.6,4.6,,WALKING
07/01/2023 14:24:43.860,664,AM1V420 @1F3E5C,369157,50FF12FF84FF,-17.6,-23.8,-12.4,,WALKING
07/01/2023 14:24:43.860,664,AM1V420 @1F3E5C,369154,4FFF6B0080FF,-17.7,10.7,-12.8,,WALKING
07/01/2023 14:24:43.861,665,AM1V420 @1F3E5C,369159,95FF17FFB7FF,-10.7,-23.3,-7.3,,WALKING
07/01/2023 14:24:43.909,714,AM1V420 @1F3E5C,369164,5500A200B5FF,8.5,16.2,-7.5,,WALKING
07/01/2023 14:24:43.910,714,AM1V420 @1F3E5C,369162,E4FF0F00CBFF,-2.8,1.5,-5.3,,WALKING
07/01/2023 14:24:43.960,764,AM1V420 @1F3E5C,369172,E2FF7400A1FF,-3.0,11.6,-9.5,,WALKING
07/01/2023 14:24:43.958,762,AM1V420 @1F3E5C,369169,4000E900A5FF,6.4,23.3,-9.1,,WALKING
07/01/2023 14:24:43.958,762,AM1V420 @1F3E5C,369167,7B00F800A6FF,12.3,24.8,-9.0,,WALKING
07/01/2023 14:24:44.006,810,AM1V420 @1F3E5C,369174,B1FF26008DFF,-7.9,3.8,-11.5,,WALKING
07/01/2023 14:24:44.009,813,AM1V420 @1F3E5C,369177,BBFF010077FF,-6.9,0.1,-13.7,,WALKING
07/01/2023 14:24:44.054,858,AM1V420 @1F3E5C,369179,ECFFD9FF6BFF,-2.0,-3.9,-14.9,,WALKING
07/01/2023 14:24:44.056,860,AM1V420 @1F3E5C,369182,FEFFC8FF5EFF,-0.2,-5.6,-16.2,,WALKING
07/01/2023 14:24:44.056,860,AM1V420 @1F3E5C,369184,2B00FEFF65FF,4.3,-0.2,-15.5,,WALKING
07/01/2023 14:24:44.102,906,AM1V420 @1F3E5C,369187,2100180077FF,3.3,2.4,-13.7,,WALKING
07/01/2023 14:24:44.104,908,AM1V420 @1F3E5C,369189,EEFF2A0080FF,-1.8,4.2,-12.8,,WALKING
07/01/2023 14:24:44.153,957,AM1V420 @1F3E5C,369192,E3FF1E0086FF,-2.9,3.0,-12.2,,WALKING
