Log start on,2022-12-17 13:13:07
Feature,Magnetometer
Nodes,AM1V420 @1F3E5C, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa),
17/12/2022 13:13:08.057,77,AM1V420 @1F3E5C,116247,F9FD68FD4B00,-519,-664,75,,SITTING
17/12/2022 13:13:08.101,121,AM1V420 @1F3E5C,116252,F6FD77FD4B00,-522,-649,75,,SITTING
17/12/2022 13:13:08.103,123,AM1V420 @1F3E5C,116254,FBFD68FD5100,-517,-664,81,,SITTING
17/12/2022 13:13:08.153,174,AM1V420 @1F3E5C,116262,F6FD72FD4C00,-522,-654,76,,SITTING
17/12/2022 13:13:08.152,172,AM1V420 @1F3E5C,116257,F9FD72FD5100,-519,-654,81,,SITTING
17/12/2022 13:13:08.153,173,AM1V420 @1F3E5C,116259,F0FD71FD4C00,-528,-655,76,,SITTING
17/12/2022 13:13:08.200,220,AM1V420 @1F3E5C,116264,F6FD6FFD5100,-522,-657,81,,SITTING
17/12/2022 13:13:08.200,220,AM1V420 @1F3E5C,116267,F2FD72FD4600,-526,-654,70,,SITTING
17/12/2022 13:13:08.251,271,AM1V420 @1F3E5C,116272,F6FD68FD4B00,-522,-664,75,,SITTING
17/12/2022 13:13:08.251,271,AM1V420 @1F3E5C,116274,F5FD62FD4C00,-523,-670,76,,SITTING
17/12/2022 13:13:08.251,270,AM1V420 @1F3E5C,116269,F6FD77FD4E00,-522,-649,78,,SITTING
17/12/2022 13:13:08.299,319,AM1V420 @1F3E5C,116277,F0FD6EFD4B00,-528,-658,75,,SITTING
17/12/2022 13:13:08.299,319,AM1V420 @1F3E5C,116279,EDFD72FD4C00,-531,-654,76,,SITTING
17/12/2022 13:13:08.347,367,AM1V420 @1F3E5C,116282,F0FD6EFD4800,-528,-658,72,,SITTING
17/12/2022 13:13:08.347,367,AM1V420 @1F3E5C,116284,F2FD75FD4800,-526,-651,72,,SITTING
17/12/2022 13:13:08.396,416,AM1V420 @1F3E5C,116287,F8FD6FFD4E00,-520,-657,78,,SITTING
17/12/2022 13:13:08.397,417,AM1V420 @1F3E5C,116292,F5FD6BFD4F00,-523,-661,79,,SITTING
17/12/2022 13:13:08.396,416,AM1V420 @1F3E5C,116289,F3FD71FD4800,-525,-655,72,,SITTING
17/12/2022 13:13:08.445,465,AM1V420 @1F3E5C,116294,F6FD6EFD4B00,-522,-658,75,,SITTING
17/12/2022 13:13:08.445,465,AM1V420 @1F3E5C,116297,F9FD72FD4E00,-519,-654,78,,SITTING
17/12/2022 13:13:08.495,515,AM1V420 @1F3E5C,116304,ECFD71FD4800,-532,-655,72,,SITTING
17/12/2022 13:13:08.494,514,AM1V420 @1F3E5C,116299,FBFD71FD4800,-517,-655,72,,SITTING
17/12/2022 13:13:08.495,514,AM1V420 @1F3E5C,116302,F6FD6FFD4200,-522,-657,66,,SITTING
17/12/2022 13:13:08.543,563,AM1V420 @1F3E5C,116309,FBFD6EFD4900,-517,-658,73,,SITTING
17/12/2022 13:13:08.543,562,AM1V420 @1F3E5C,116307,F0FD71FD4F00,-528,-655,79,,SITTING
17/12/2022 13:13:08.592,612,AM1V420 @1F3E5C,116312,F2FD68FD4C00,-526,-664,76,,SITTING
17/12/2022 13:13:08.592,612,AM1V420 @1F3E5C,116314,F6FD68FD4300,-522,-664,67,,SITTING
17/12/2022 13:13:08.592,612,AM1V420 @1F3E5C,116317,F6FD6FFD4F00,-522,-657,79,,SITTING
17/12/2022 13:13:08.640,660,AM1V420 @1F3E5C,116319,F2FD6EFD4E00,-526,-658,78,,SITTING
17/12/2022 13:13:08.641,661,AM1V420 @1F3E5C,116322,F8FD6CFD4F00,-520,-660,79,,SITTING
