Log start on,2022-12-26 16:35:38
Feature,Gyroscope
Nodes,AM1V420 @1F3E5C, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps),
26/12/2022 16:35:38.778,6,AM1V420 @1F3E5C,55948,D9FF2C00CAFF,-3.9,4.4,-5.4,,STANDING
26/12/2022 16:35:38.874,102,AM1V420 @1F3E5C,55958,B8FFCDFFE7FF,-7.2,-5.1,-2.5,,STANDING
26/12/2022 16:35:38.876,104,AM1V420 @1F3E5C,55961,56FFD9FFF0FF,-17.0,-3.9,-1.6,,STANDING
26/12/2022 16:35:38.926,154,AM1V420 @1F3E5C,55966,DFFEF4FF0000,-28.9,-1.2,0.0,,STANDING
26/12/2022 16:35:38.926,154,AM1V420 @1F3E5C,55968,A6FE1200FEFF,-34.6,1.8,-0.2,,STANDING
26/12/2022 16:35:38.926,154,AM1V420 @1F3E5C,55963,1CFFF4FFFCFF,-22.8,-1.2,-0.4,,STANDING
26/12/2022 16:35:38.974,202,AM1V420 @1F3E5C,55971,9DFE28000200,-35.5,4.0,0.2,,STANDING
26/12/2022 16:35:38.974,202,AM1V420 @1F3E5C,55973,E2FE2C000D00,-28.6,4.4,1.3,,STANDING
26/12/2022 16:35:39.020,248,AM1V420 @1F3E5C,55976,5BFF25001C00,-16.5,3.7,2.8,,STANDING
26/12/2022 16:35:39.020,248,AM1V420 @1F3E5C,55978,C0FF12002800,-6.4,1.8,4.0,,STANDING
26/12/2022 16:35:39.022,250,AM1V420 @1F3E5C,55981,1500F4FF2F00,2.1,-1.2,4.7,,STANDING
26/12/2022 16:35:39.071,299,AM1V420 @1F3E5C,55983,5800D3FF3800,8.8,-4.5,5.6,,STANDING
26/12/2022 16:35:39.072,300,AM1V420 @1F3E5C,55986,9400C1FF4100,14.8,-6.3,6.5,,STANDING
26/12/2022 16:35:39.121,349,AM1V420 @1F3E5C,55991,AF00C9FF3A00,17.5,-5.5,5.8,,STANDING
26/12/2022 16:35:39.121,349,AM1V420 @1F3E5C,55988,B200BCFF4100,17.8,-6.8,6.5,,STANDING
26/12/2022 16:35:39.169,397,AM1V420 @1F3E5C,55996,69000D001900,10.5,1.3,2.5,,STANDING
26/12/2022 16:35:39.169,397,AM1V420 @1F3E5C,55998,4A002F000800,7.4,4.7,0.8,,STANDING
26/12/2022 16:35:39.169,397,AM1V420 @1F3E5C,55993,8C00EBFF2B00,14.0,-2.1,4.3,,STANDING
26/12/2022 16:35:39.218,446,AM1V420 @1F3E5C,56001,2A004800FCFF,4.2,7.2,-0.4,,STANDING
26/12/2022 16:35:39.218,446,AM1V420 @1F3E5C,56003,01005D00F9FF,0.1,9.3,-0.7,,STANDING
26/12/2022 16:35:39.267,494,AM1V420 @1F3E5C,56006,DBFF6D000200,-3.7,10.9,0.2,,STANDING
26/12/2022 16:35:39.267,495,AM1V420 @1F3E5C,56008,C6FF79001100,-5.8,12.1,1.7,,STANDING
26/12/2022 16:35:39.267,495,AM1V420 @1F3E5C,56011,C3FF78002000,-6.1,12.0,3.2,,STANDING
26/12/2022 16:35:39.315,543,AM1V420 @1F3E5C,56013,D4FF6B002A00,-4.4,10.7,4.2,,STANDING
26/12/2022 16:35:39.316,544,AM1V420 @1F3E5C,56016,F1FF4D003100,-1.5,7.7,4.9,,STANDING
26/12/2022 16:35:39.364,592,AM1V420 @1F3E5C,56023,320004002D00,5.0,0.4,4.5,,STANDING
26/12/2022 16:35:39.363,591,AM1V420 @1F3E5C,56018,0B0027003800,1.1,3.9,5.6,,STANDING
26/12/2022 16:35:39.364,592,AM1V420 @1F3E5C,56021,21000E003800,3.3,1.4,5.6,,STANDING
26/12/2022 16:35:39.413,641,AM1V420 @1F3E5C,56028,480006000C00,7.2,0.6,1.2,,STANDING
26/12/2022 16:35:39.413,641,AM1V420 @1F3E5C,56026,3D0001001C00,6.1,0.1,2.8,,STANDING
26/12/2022 16:35:39.461,689,AM1V420 @1F3E5C,56031,4A0013000100,7.4,1.9,0.1,,STANDING
26/12/2022 16:35:39.462,690,AM1V420 @1F3E5C,56033,46002000F9FF,7.0,3.2,-0.7,,STANDING
26/12/2022 16:35:39.511,739,AM1V420 @1F3E5C,56036,43003700EFFF,6.7,5.5,-1.7,,STANDING
26/12/2022 16:35:39.513,741,AM1V420 @1F3E5C,56041,17003E00D8FF,2.3,6.2,-4.0,,STANDING
26/12/2022 16:35:39.512,740,AM1V420 @1F3E5C,56038,33004300E2FF,5.1,6.7,-3.0,,STANDING
26/12/2022 16:35:39.559,787,AM1V420 @1F3E5C,56043,00002D00DAFF,0.0,4.5,-3.8,,STANDING
26/12/2022 16:35:39.559,787,AM1V420 @1F3E5C,56046,F5FF1E00E3FF,-1.1,3.0,-2.9,,STANDING
26/12/2022 16:35:39.609,836,AM1V420 @1F3E5C,56048,E4FFE7FFEEFF,-2.8,-2.5,-1.8,,STANDING
26/12/2022 16:35:39.609,837,AM1V420 @1F3E5C,56051,CDFFD2FFFDFF,-5.1,-4.6,-0.3,,STANDING
26/12/2022 16:35:39.610,838,AM1V420 @1F3E5C,56053,CDFFCCFF0D00,-5.1,-5.2,1.3,,STANDING
26/12/2022 16:35:39.655,883,AM1V420 @1F3E5C,56056,DEFFC7FF2600,-3.4,-5.7,3.8,,STANDING
26/12/2022 16:35:39.664,892,AM1V420 @1F3E5C,56058,F3FFCBFF3B00,-1.3,-5.3,5.9,,STANDING
26/12/2022 16:35:39.707,935,AM1V420 @1F3E5C,56061,0200E0FF4900,0.2,-3.2,7.3,,STANDING
26/12/2022 16:35:39.707,935,AM1V420 @1F3E5C,56063,0B00F2FF5200,1.1,-1.4,8.2,,STANDING
26/12/2022 16:35:39.708,936,AM1V420 @1F3E5C,56066,150004005100,2.1,0.4,8.1,,STANDING
26/12/2022 16:35:39.756,984,AM1V420 @1F3E5C,56071,040015003B00,0.4,2.1,5.9,,STANDING
26/12/2022 16:35:39.753,981,AM1V420 @1F3E5C,56068,180012004A00,2.4,1.8,7.4,,STANDING
26/12/2022 16:35:39.803,1030,AM1V420 @1F3E5C,56073,E5FF0C002700,-2.7,1.2,3.9,,STANDING
26/12/2022 16:35:39.803,1031,AM1V420 @1F3E5C,56076,D1FF05001300,-4.7,0.5,1.9,,STANDING
26/12/2022 16:35:39.806,1034,AM1V420 @1F3E5C,56078,C6FFFCFF0200,-5.8,-0.4,0.2,,STANDING
26/12/2022 16:35:39.853,1079,AM1V420 @1F3E5C,56081,C1FFF4FFF7FF,-6.3,-1.2,-0.9,,STANDING
26/12/2022 16:35:39.853,1081,AM1V420 @1F3E5C,56083,C7FFF6FFF7FF,-5.7,-1.0,-0.9,,STANDING
26/12/2022 16:35:39.899,1127,AM1V420 @1F3E5C,56086,C0FFFAFFFCFF,-6.4,-0.6,-0.4,,STANDING
26/12/2022 16:35:39.905,1133,AM1V420 @1F3E5C,56088,C0FFFEFF0900,-6.4,-0.2,0.9,,STANDING
26/12/2022 16:35:39.948,1176,AM1V420 @1F3E5C,56091,C7FF0A001500,-5.7,1.0,2.1,,STANDING
26/12/2022 16:35:39.948,1176,AM1V420 @1F3E5C,56093,CFFF11001E00,-4.9,1.7,3.0,,STANDING
26/12/2022 16:35:39.952,1180,AM1V420 @1F3E5C,56096,D7FF1A002700,-4.1,2.6,3.9,,STANDING
26/12/2022 16:35:39.997,1225,AM1V420 @1F3E5C,56098,D9FF23002E00,-3.9,3.5,4.6,,STANDING
26/12/2022 16:35:39.997,1225,AM1V420 @1F3E5C,56101,D6FF22002E00,-4.2,3.4,4.6,,STANDING
26/12/2022 16:35:40.045,1273,AM1V420 @1F3E5C,56103,D4FF17002700,-4.4,2.3,3.9,,STANDING
26/12/2022 16:35:40.048,1276,AM1V420 @1F3E5C,56106,D9FF0E001B00,-3.9,1.4,2.7,,STANDING
26/12/2022 16:35:40.053,1281,AM1V420 @1F3E5C,56108,E0FF08000E00,-3.2,0.8,1.4,,STANDING
26/12/2022 16:35:40.094,1323,AM1V420 @1F3E5C,56111,E1FF07000200,-3.1,0.7,0.2,,STANDING
26/12/2022 16:35:40.096,1324,AM1V420 @1F3E5C,56113,E1FF0700FCFF,-3.1,0.7,-0.4,,STANDING
26/12/2022 16:35:40.143,1371,AM1V420 @1F3E5C,56118,F5FF0D00E7FF,-1.1,1.3,-2.5,,STANDING
26/12/2022 16:35:40.145,1373,AM1V420 @1F3E5C,56121,00001700E2FF,0.0,2.3,-3.0,,STANDING
26/12/2022 16:35:40.142,1370,AM1V420 @1F3E5C,56116,E8FF0700F0FF,-2.4,0.7,-1.6,,STANDING
26/12/2022 16:35:40.192,1420,AM1V420 @1F3E5C,56126,06002100DEFF,0.6,3.3,-3.4,,STANDING
26/12/2022 16:35:40.191,1419,AM1V420 @1F3E5C,56123,04001E00E1FF,0.4,3.0,-3.1,,STANDING
26/12/2022 16:35:40.242,1470,AM1V420 @1F3E5C,56128,09001E00DBFF,0.9,3.0,-3.7,,STANDING
26/12/2022 16:35:40.242,1470,AM1V420 @1F3E5C,56131,12001C00DAFF,1.8,2.8,-3.8,,STANDING
26/12/2022 16:35:40.290,1518,AM1V420 @1F3E5C,56136,26001200D7FF,3.8,1.8,-4.1,,STANDING
26/12/2022 16:35:40.290,1518,AM1V420 @1F3E5C,56133,1C001700D8FF,2.8,2.3,-4.0,,STANDING
26/12/2022 16:35:40.300,1528,AM1V420 @1F3E5C,56138,30001000D2FF,4.8,1.6,-4.6,,STANDING
26/12/2022 16:35:40.339,1567,AM1V420 @1F3E5C,56141,3D001400D2FF,6.1,2.0,-4.6,,STANDING
26/12/2022 16:35:40.347,1575,AM1V420 @1F3E5C,56143,3E001100CFFF,6.2,1.7,-4.9,,STANDING
