Log start on,2023-04-28 17:32:44
Feature,Magnetometer
Nodes,AM1V420 @1F3E5C, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa),
28/04/2023 17:32:44.835,20,AM1V420 @1F3E5C,7244,BFFE1A018800,-321,282,136,,STANDING
28/04/2023 17:32:44.929,114,AM1V420 @1F3E5C,7254,BFFE1E017C00,-321,286,124,,STANDING
28/04/2023 17:32:44.929,114,AM1V420 @1F3E5C,7256,BCFE1B017900,-324,283,121,,STANDING
28/04/2023 17:32:44.930,115,AM1V420 @1F3E5C,7259,C2FE1D017F00,-318,285,127,,STANDING
28/04/2023 17:32:44.978,163,AM1V420 @1F3E5C,7261,C1FE1D017E00,-319,285,126,,STANDING
28/04/2023 17:32:44.978,164,AM1V420 @1F3E5C,7264,BEFE20018100,-322,288,129,,STANDING
28/04/2023 17:32:45.025,210,AM1V420 @1F3E5C,7266,BCFE14018500,-324,276,133,,STANDING
28/04/2023 17:32:45.027,212,AM1V420 @1F3E5C,7269,C4FE1D018800,-316,285,136,,STANDING
28/04/2023 17:32:45.077,262,AM1V420 @1F3E5C,7274,BFFE1B017B00,-321,283,123,,STANDING
28/04/2023 17:32:45.078,263,AM1V420 @1F3E5C,7276,B6FE15017F00,-330,277,127,,STANDING
28/04/2023 17:32:45.076,262,AM1V420 @1F3E5C,7271,BCFE1E017900,-324,286,121,,STANDING
28/04/2023 17:32:45.126,311,AM1V420 @1F3E5C,7279,C2FE1B017E00,-318,283,126,,STANDING
28/04/2023 17:32:45.126,311,AM1V420 @1F3E5C,7281,BCFE1A017C00,-324,282,124,,STANDING
28/04/2023 17:32:45.172,357,AM1V420 @1F3E5C,7284,B9FE17018400,-327,279,132,,STANDING
28/04/2023 17:32:45.172,357,AM1V420 @1F3E5C,7286,BCFE1A018100,-324,282,129,,STANDING
28/04/2023 17:32:45.174,359,AM1V420 @1F3E5C,7289,C5FE1A018500,-315,282,133,,STANDING
28/04/2023 17:32:45.220,405,AM1V420 @1F3E5C,7291,C4FE11018200,-316,273,130,,STANDING
28/04/2023 17:32:45.220,405,AM1V420 @1F3E5C,7294,C5FE1B018400,-315,283,132,,STANDING
28/04/2023 17:32:45.271,456,AM1V420 @1F3E5C,7299,B3FE1B018500,-333,283,133,,STANDING
28/04/2023 17:32:45.272,457,AM1V420 @1F3E5C,7301,BEFE1A018500,-322,282,133,,STANDING
28/04/2023 17:32:45.271,456,AM1V420 @1F3E5C,7296,BCFE18018100,-324,280,129,,STANDING
28/04/2023 17:32:45.320,505,AM1V420 @1F3E5C,7304,C7FE15018200,-313,277,130,,STANDING
28/04/2023 17:32:45.320,505,AM1V420 @1F3E5C,7306,BFFE15018400,-321,277,132,,STANDING
28/04/2023 17:32:45.368,553,AM1V420 @1F3E5C,7311,C7FE1A018700,-313,282,135,,STANDING
28/04/2023 17:32:45.368,553,AM1V420 @1F3E5C,7309,C4FE1E018500,-316,286,133,,STANDING
28/04/2023 17:32:45.369,554,AM1V420 @1F3E5C,7314,BBFE18018B00,-325,280,139,,STANDING
28/04/2023 17:32:45.416,601,AM1V420 @1F3E5C,7316,BEFE12017C00,-322,274,124,,STANDING
28/04/2023 17:32:45.417,602,AM1V420 @1F3E5C,7319,BCFE1A018400,-324,282,132,,STANDING
28/04/2023 17:32:45.467,651,AM1V420 @1F3E5C,7321,C2FE17018A00,-318,279,138,,STANDING
28/04/2023 17:32:45.467,652,AM1V420 @1F3E5C,7324,C1FE1B018500,-319,283,133,,STANDING
28/04/2023 17:32:45.516,701,AM1V420 @1F3E5C,7326,C4FE15018B00,-316,277,139,,STANDING
28/04/2023 17:32:45.518,703,AM1V420 @1F3E5C,7329,B9FE20018400,-327,288,132,,STANDING
28/04/2023 17:32:45.520,705,AM1V420 @1F3E5C,7331,BCFE1A018500,-324,282,133,,STANDING
28/04/2023 17:32:45.564,749,AM1V420 @1F3E5C,7334,CBFE11017C00,-309,273,124,,STANDING
28/04/2023 17:32:45.565,750,AM1V420 @1F3E5C,7336,C4FE18018200,-316,280,130,,STANDING
28/04/2023 17:32:45.613,798,AM1V420 @1F3E5C,7339,CDFE1A018500,-307,282,133,,STANDING
28/04/2023 17:32:45.614,799,AM1V420 @1F3E5C,7341,BCFE17018500,-324,279,133,,STANDING
28/04/2023 17:32:45.615,800,AM1V420 @1F3E5C,7344,C1FE1E018A00,-319,286,138,,STANDING
28/04/2023 17:32:45.662,847,AM1V420 @1F3E5C,7346,C5FE17018B00,-315,279,139,,STANDING
28/04/2023 17:32:45.665,850,AM1V420 @1F3E5C,7349,C7FE18018A00,-313,280,138,,STANDING
