Log start on,2022-12-17 13:13:07
Feature,Accelerometer
Nodes,AM1V420 @1F3E5C, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg),
17/12/2022 13:13:08.006,26,AM1V420 @1F3E5C,116242,D703CBFFA400,983,-53,164,,SITTING
17/12/2022 13:13:08.101,121,AM1V420 @1F3E5C,116252,D703C7FFA800,983,-57,168,,SITTING
17/12/2022 13:13:08.103,123,AM1V420 @1F3E5C,116254,D203CDFFA900,978,-51,169,,SITTING
17/12/2022 13:13:08.152,172,AM1V420 @1F3E5C,116257,D203D2FFA600,978,-46,166,,SITTING
17/12/2022 13:13:08.153,174,AM1V420 @1F3E5C,116262,D303C5FF9E00,979,-59,158,,SITTING
17/12/2022 13:13:08.153,173,AM1V420 @1F3E5C,116259,DE03C8FFB700,990,-56,183,,SITTING
17/12/2022 13:13:08.200,220,AM1V420 @1F3E5C,116264,DD03CAFFA700,989,-54,167,,SITTING
17/12/2022 13:13:08.200,220,AM1V420 @1F3E5C,116267,DC03C4FFB400,988,-60,180,,SITTING
17/12/2022 13:13:08.251,271,AM1V420 @1F3E5C,116274,DE03CCFFA000,990,-52,160,,SITTING
17/12/2022 13:13:08.251,271,AM1V420 @1F3E5C,116272,D503C7FFA200,981,-57,162,,SITTING
17/12/2022 13:13:08.251,270,AM1V420 @1F3E5C,116269,D403C5FFB400,980,-59,180,,SITTING
17/12/2022 13:13:08.299,319,AM1V420 @1F3E5C,116277,E003CAFF9F00,992,-54,159,,SITTING
17/12/2022 13:13:08.299,319,AM1V420 @1F3E5C,116279,DE03C7FFAB00,990,-57,171,,SITTING
17/12/2022 13:13:08.347,367,AM1V420 @1F3E5C,116282,D903C5FFB100,985,-59,177,,SITTING
17/12/2022 13:13:08.347,367,AM1V420 @1F3E5C,116284,D303C9FFAD00,979,-55,173,,SITTING
17/12/2022 13:13:08.396,416,AM1V420 @1F3E5C,116289,DA03CAFFA700,986,-54,167,,SITTING
17/12/2022 13:13:08.396,416,AM1V420 @1F3E5C,116287,D503CCFFA600,981,-52,166,,SITTING
17/12/2022 13:13:08.397,417,AM1V420 @1F3E5C,116292,DD03C6FFAA00,989,-58,170,,SITTING
17/12/2022 13:13:08.445,465,AM1V420 @1F3E5C,116294,DB03C6FFA500,987,-58,165,,SITTING
17/12/2022 13:13:08.445,465,AM1V420 @1F3E5C,116297,DD03C2FFA600,989,-62,166,,SITTING
17/12/2022 13:13:08.494,514,AM1V420 @1F3E5C,116299,D803C8FFB600,984,-56,182,,SITTING
17/12/2022 13:13:08.495,515,AM1V420 @1F3E5C,116304,D703C5FFA900,983,-59,169,,SITTING
17/12/2022 13:13:08.495,514,AM1V420 @1F3E5C,116302,D203C8FFA300,978,-56,163,,SITTING
