Log start on,2022-12-21 18:36:25
Feature,Accelerometer
Nodes,AM1V420 @1F3E5C, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg),
21/12/2022 18:36:25.915,95,AM1V420 @1F3E5C,59436,E203F0FF6800,994,-16,104,,SITTING
21/12/2022 18:36:25.959,138,AM1V420 @1F3E5C,59438,DF0300005E00,991,0,94,,SITTING
21/12/2022 18:36:25.959,139,AM1V420 @1F3E5C,59441,E50304006A00,997,4,106,,SITTING
21/12/2022 18:36:26.011,191,AM1V420 @1F3E5C,59443,E00305006600,992,5,102,,SITTING
21/12/2022 18:36:26.012,191,AM1V420 @1F3E5C,59446,E40302005100,996,2,81,,SITTING
21/12/2022 18:36:26.057,237,AM1V420 @1F3E5C,59448,F003F7FF3800,1008,-9,56,,SITTING
21/12/2022 18:36:26.060,240,AM1V420 @1F3E5C,59453,F203FAFF3F00,1010,-6,63,,SITTING
21/12/2022 18:36:26.058,238,AM1V420 @1F3E5C,59451,F403F6FF3B00,1012,-10,59,,SITTING
21/12/2022 18:36:26.105,285,AM1V420 @1F3E5C,59456,F103FBFF4A00,1009,-5,74,,SITTING
21/12/2022 18:36:26.106,286,AM1V420 @1F3E5C,59458,EE03FBFF4800,1006,-5,72,,SITTING
21/12/2022 18:36:26.155,335,AM1V420 @1F3E5C,59461,EA03FFFF3D00,1002,-1,61,,SITTING
21/12/2022 18:36:26.155,335,AM1V420 @1F3E5C,59463,EB0300003B00,1003,0,59,,SITTING
21/12/2022 18:36:26.155,335,AM1V420 @1F3E5C,59466,EC03FCFF3C00,1004,-4,60,,SITTING
21/12/2022 18:36:26.203,383,AM1V420 @1F3E5C,59468,EA03F7FF4000,1002,-9,64,,SITTING
21/12/2022 18:36:26.204,384,AM1V420 @1F3E5C,59471,E603F6FF3A00,998,-10,58,,SITTING
21/12/2022 18:36:26.254,433,AM1V420 @1F3E5C,59473,EA03F2FF4700,1002,-14,71,,SITTING
21/12/2022 18:36:26.255,435,AM1V420 @1F3E5C,59478,E003FCFF4800,992,-4,72,,SITTING
21/12/2022 18:36:26.254,434,AM1V420 @1F3E5C,59476,E303FBFF5100,995,-5,81,,SITTING
21/12/2022 18:36:26.302,482,AM1V420 @1F3E5C,59483,E103FEFF4200,993,-2,66,,SITTING
21/12/2022 18:36:26.302,481,AM1V420 @1F3E5C,59481,E103FBFF4200,993,-5,66,,SITTING
21/12/2022 18:36:26.351,531,AM1V420 @1F3E5C,59486,E40301004700,996,1,71,,SITTING
21/12/2022 18:36:26.353,533,AM1V420 @1F3E5C,59488,E80300004400,1000,0,68,,SITTING
21/12/2022 18:36:26.400,580,AM1V420 @1F3E5C,59496,E80309004900,1000,9,73,,SITTING
21/12/2022 18:36:26.400,579,AM1V420 @1F3E5C,59491,E903FFFF4200,1001,-1,66,,SITTING
21/12/2022 18:36:26.400,580,AM1V420 @1F3E5C,59493,E90301004500,1001,1,69,,SITTING
21/12/2022 18:36:26.449,628,AM1V420 @1F3E5C,59498,E8030C004B00,1000,12,75,,SITTING
21/12/2022 18:36:26.449,629,AM1V420 @1F3E5C,59501,EA030B004900,1002,11,73,,SITTING
21/12/2022 18:36:26.499,679,AM1V420 @1F3E5C,59503,ED0309004A00,1005,9,74,,SITTING
21/12/2022 18:36:26.500,680,AM1V420 @1F3E5C,59506,F00307004E00,1008,7,78,,SITTING
21/12/2022 18:36:26.502,682,AM1V420 @1F3E5C,59508,EC030C005000,1004,12,80,,SITTING
21/12/2022 18:36:26.546,726,AM1V420 @1F3E5C,59511,E9030C005100,1001,12,81,,SITTING
21/12/2022 18:36:26.550,730,AM1V420 @1F3E5C,59513,E6030D004E00,998,13,78,,SITTING
21/12/2022 18:36:26.598,778,AM1V420 @1F3E5C,59516,E60310004A00,998,16,74,,SITTING
21/12/2022 18:36:26.602,782,AM1V420 @1F3E5C,59521,EF0312004B00,1007,18,75,,SITTING
21/12/2022 18:36:26.600,780,AM1V420 @1F3E5C,59518,E9030F004600,1001,15,70,,SITTING
21/12/2022 18:36:26.641,821,AM1V420 @1F3E5C,59523,EC0312004D00,1004,18,77,,SITTING
21/12/2022 18:36:26.643,823,AM1V420 @1F3E5C,59526,EA0312004900,1002,18,73,,SITTING
21/12/2022 18:36:26.691,870,AM1V420 @1F3E5C,59528,E80310004B00,1000,16,75,,SITTING
21/12/2022 18:36:26.692,872,AM1V420 @1F3E5C,59533,E90309004700,1001,9,71,,SITTING
21/12/2022 18:36:26.691,871,AM1V420 @1F3E5C,59531,E5030B004D00,997,11,77,,SITTING
21/12/2022 18:36:26.743,922,AM1V420 @1F3E5C,59538,E90301004C00,1001,1,76,,SITTING
21/12/2022 18:36:26.743,921,AM1V420 @1F3E5C,59536,F40302005100,1012,2,81,,SITTING
21/12/2022 18:36:26.790,970,AM1V420 @1F3E5C,59541,E9030C004700,1001,12,71,,SITTING
21/12/2022 18:36:26.797,976,AM1V420 @1F3E5C,59543,E4030A004C00,996,10,76,,SITTING
21/12/2022 18:36:26.839,1019,AM1V420 @1F3E5C,59548,DF0308004F00,991,8,79,,SITTING
21/12/2022 18:36:26.840,1020,AM1V420 @1F3E5C,59551,E30308004D00,995,8,77,,SITTING
21/12/2022 18:36:26.837,1017,AM1V420 @1F3E5C,59546,DE0306005200,990,6,82,,SITTING
21/12/2022 18:36:26.886,1066,AM1V420 @1F3E5C,59553,DF0306004B00,991,6,75,,SITTING
21/12/2022 18:36:26.888,1068,AM1V420 @1F3E5C,59556,DC0307004A00,988,7,74,,SITTING
21/12/2022 18:36:26.937,1117,AM1V420 @1F3E5C,59561,F50306005100,1013,6,81,,SITTING
21/12/2022 18:36:26.938,1118,AM1V420 @1F3E5C,59563,F2030A005000,1010,10,80,,SITTING
21/12/2022 18:36:26.935,1115,AM1V420 @1F3E5C,59558,EC0308004F00,1004,8,79,,SITTING
21/12/2022 18:36:26.985,1165,AM1V420 @1F3E5C,59568,E90308006900,1001,8,105,,SITTING
21/12/2022 18:36:26.984,1164,AM1V420 @1F3E5C,59566,EF0308006100,1007,8,97,,SITTING
21/12/2022 18:36:27.036,1216,AM1V420 @1F3E5C,59573,EE0302006000,1006,2,96,,SITTING
21/12/2022 18:36:27.034,1214,AM1V420 @1F3E5C,59571,E60307006700,998,7,103,,SITTING
21/12/2022 18:36:27.041,1221,AM1V420 @1F3E5C,59576,F203FFFF8000,1010,-1,128,,SITTING
21/12/2022 18:36:27.086,1266,AM1V420 @1F3E5C,59581,E803FCFF7800,1000,-4,120,,SITTING
21/12/2022 18:36:27.085,1265,AM1V420 @1F3E5C,59578,EE0302008B00,1006,2,139,,SITTING
21/12/2022 18:36:27.133,1313,AM1V420 @1F3E5C,59586,EA03FEFF7700,1002,-2,119,,SITTING
21/12/2022 18:36:27.132,1312,AM1V420 @1F3E5C,59583,EA03F9FF7600,1002,-7,118,,SITTING
21/12/2022 18:36:27.180,1360,AM1V420 @1F3E5C,59588,EA0300007600,1002,0,118,,SITTING
21/12/2022 18:36:27.181,1361,AM1V420 @1F3E5C,59591,E803FFFF7000,1000,-1,112,,SITTING
21/12/2022 18:36:27.182,1362,AM1V420 @1F3E5C,59593,E503FEFF6E00,997,-2,110,,SITTING
21/12/2022 18:36:27.230,1409,AM1V420 @1F3E5C,59596,E303FFFF7200,995,-1,114,,SITTING
21/12/2022 18:36:27.231,1411,AM1V420 @1F3E5C,59598,E503FEFF7000,997,-2,112,,SITTING
21/12/2022 18:36:27.278,1458,AM1V420 @1F3E5C,59601,EA03FCFF6600,1002,-4,102,,SITTING
21/12/2022 18:36:27.286,1465,AM1V420 @1F3E5C,59603,EC03FDFF6500,1004,-3,101,,SITTING
21/12/2022 18:36:27.286,1466,AM1V420 @1F3E5C,59606,E90304006700,1001,4,103,,SITTING
21/12/2022 18:36:27.327,1506,AM1V420 @1F3E5C,59608,E8030E006900,1000,14,105,,SITTING
21/12/2022 18:36:27.328,1508,AM1V420 @1F3E5C,59611,EA030B006A00,1002,11,106,,SITTING
21/12/2022 18:36:27.376,1555,AM1V420 @1F3E5C,59613,E90303006900,1001,3,105,,SITTING
21/12/2022 18:36:27.377,1557,AM1V420 @1F3E5C,59616,E403F9FF6200,996,-7,98,,SITTING
21/12/2022 18:36:27.381,1561,AM1V420 @1F3E5C,59618,E203F5FF6A00,994,-11,106,,SITTING
21/12/2022 18:36:27.423,1603,AM1V420 @1F3E5C,59623,E203FBFF6C00,994,-5,108,,SITTING
21/12/2022 18:36:27.423,1602,AM1V420 @1F3E5C,59621,DE03F7FF6800,990,-9,104,,SITTING
21/12/2022 18:36:27.472,1652,AM1V420 @1F3E5C,59626,E003FEFF6F00,992,-2,111,,SITTING
21/12/2022 18:36:27.474,1654,AM1V420 @1F3E5C,59631,E103FAFF6500,993,-6,101,,SITTING
21/12/2022 18:36:27.473,1653,AM1V420 @1F3E5C,59628,E003F9FF7000,992,-7,112,,SITTING
21/12/2022 18:36:27.522,1703,AM1V420 @1F3E5C,59636,EA0300006400,1002,0,100,,SITTING
21/12/2022 18:36:27.522,1701,AM1V420 @1F3E5C,59633,E503FFFF5300,997,-1,83,,SITTING
21/12/2022 18:36:27.572,1752,AM1V420 @1F3E5C,59638,E20310005000,994,16,80,,SITTING
21/12/2022 18:36:27.574,1754,AM1V420 @1F3E5C,59641,E8030C007000,1000,12,112,,SITTING
21/12/2022 18:36:27.623,1802,AM1V420 @1F3E5C,59648,EE0305005300,1006,5,83,,SITTING
21/12/2022 18:36:27.617,1797,AM1V420 @1F3E5C,59643,E1030B006800,993,11,104,,SITTING
21/12/2022 18:36:27.618,1798,AM1V420 @1F3E5C,59646,DE0309006B00,990,9,107,,SITTING
21/12/2022 18:36:27.666,1846,AM1V420 @1F3E5C,59651,F20305005600,1010,5,86,,SITTING
21/12/2022 18:36:27.668,1847,AM1V420 @1F3E5C,59653,F30300005C00,1011,0,92,,SITTING
21/12/2022 18:36:27.717,1896,AM1V420 @1F3E5C,59656,EC0300006A00,1004,0,106,,SITTING
21/12/2022 18:36:27.718,1898,AM1V420 @1F3E5C,59658,E90301006500,1001,1,101,,SITTING
21/12/2022 18:36:27.719,1899,AM1V420 @1F3E5C,59661,E60300006500,998,0,101,,SITTING
21/12/2022 18:36:27.767,1947,AM1V420 @1F3E5C,59666,E103FCFF6300,993,-4,99,,SITTING
21/12/2022 18:36:27.765,1945,AM1V420 @1F3E5C,59663,E403FEFF6500,996,-2,101,,SITTING
21/12/2022 18:36:27.816,1996,AM1V420 @1F3E5C,59671,E70307005F00,999,7,95,,SITTING
21/12/2022 18:36:27.818,1998,AM1V420 @1F3E5C,59673,EE0301006700,1006,1,103,,SITTING
21/12/2022 18:36:27.814,1994,AM1V420 @1F3E5C,59668,DF03FDFF6100,991,-3,97,,SITTING
21/12/2022 18:36:27.865,2045,AM1V420 @1F3E5C,59678,E603F8FF6E00,998,-8,110,,SITTING
21/12/2022 18:36:27.864,2043,AM1V420 @1F3E5C,59676,EA03FFFF7200,1002,-1,114,,SITTING
21/12/2022 18:36:27.912,2092,AM1V420 @1F3E5C,59681,D803FDFF6600,984,-3,102,,SITTING
21/12/2022 18:36:27.914,2093,AM1V420 @1F3E5C,59683,D80306005C00,984,6,92,,SITTING
21/12/2022 18:36:27.963,2143,AM1V420 @1F3E5C,59691,ED03FEFF6200,1005,-2,98,,SITTING
21/12/2022 18:36:27.961,2140,AM1V420 @1F3E5C,59686,E0030D005B00,992,13,91,,SITTING
21/12/2022 18:36:27.962,2142,AM1V420 @1F3E5C,59688,EB0309005E00,1003,9,94,,SITTING
21/12/2022 18:36:28.011,2191,AM1V420 @1F3E5C,59696,E403FFFF5E00,996,-1,94,,SITTING
21/12/2022 18:36:28.010,2189,AM1V420 @1F3E5C,59693,E903F9FF6000,1001,-7,96,,SITTING
21/12/2022 18:36:28.058,2237,AM1V420 @1F3E5C,59698,E10306005E00,993,6,94,,SITTING
21/12/2022 18:36:28.060,2240,AM1V420 @1F3E5C,59703,E70305005B00,999,5,91,,SITTING
21/12/2022 18:36:28.059,2239,AM1V420 @1F3E5C,59701,E60308005C00,998,8,92,,SITTING
21/12/2022 18:36:28.107,2287,AM1V420 @1F3E5C,59708,E703FAFF5400,999,-6,84,,SITTING
21/12/2022 18:36:28.106,2286,AM1V420 @1F3E5C,59706,E40300005A00,996,0,90,,SITTING
21/12/2022 18:36:28.156,2336,AM1V420 @1F3E5C,59711,EF03FFFF5600,1007,-1,86,,SITTING
